Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-07T19:00:00+00:00,pacific,stanford,78 - 88,L,away,1667847600,https://media-1.api-sports.io/basketball/teams/2069.png
2022-11-13T19:00:00+00:00,pacific,north dakota st,91 - 86,W,away,1668366000,https://media-3.api-sports.io/basketball/teams/2069.png
2022-11-16T01:00:00+00:00,pacific,north dakota,93 - 63,W,away,1668560400,https://media-2.api-sports.io/basketball/teams/2069.png
2022-11-19T03:00:00+00:00,pacific,cs fullerton,94 - 91,L,home,1668826800,https://media-3.api-sports.io/basketball/teams/2069.png
2022-11-23T03:00:00+00:00,pacific,mount st. mary's,69 - 65,L,home,1669172400,https://media-3.api-sports.io/basketball/teams/2069.png
2022-11-26T02:00:00+00:00,pacific,idaho,84 - 81,L,home,1669428000,https://media-2.api-sports.io/basketball/teams/2069.png
2022-11-29T03:00:00+00:00,pacific,cal poly,62 - 58,L,home,1669690800,https://media-1.api-sports.io/basketball/teams/2069.png
2022-12-02T02:00:00+00:00,pacific,uc davis,74 - 72,W,away,1669946400,https://media-3.api-sports.io/basketball/teams/2069.png
2022-12-03T22:00:00+00:00,pacific,uc santa barbara,71 - 82,L,away,1670104800,https://media-3.api-sports.io/basketball/teams/2069.png
2022-12-07T03:00:00+00:00,pacific,northern arizona,73 - 69,L,home,1670382000,https://media-2.api-sports.io/basketball/teams/2069.png
2022-12-10T22:00:00+00:00,pacific,fresno state,72 - 76,W,home,1670709600,https://media-3.api-sports.io/basketball/teams/2069.png
2022-12-12T00:00:00+00:00,pacific,cal st.-east bay,79 - 73,L,home,1670803200,https://media-2.api-sports.io/basketball/teams/2069.png
2022-12-14T02:00:00+00:00,pacific,california state-stanislaus warriors,56 - 80,W,home,1670983200,https://media-2.api-sports.io/basketball/teams/2069.png
2022-12-18T00:00:00+00:00,pacific,san jose state,58 - 59,W,home,1671321600,https://media-1.api-sports.io/basketball/teams/2069.png
2022-12-21T01:00:00+00:00,pacific,lamar,74 - 65,W,away,1671584400,https://media-1.api-sports.io/basketball/teams/2069.png
2022-12-30T02:00:00+00:00,pacific,brigham young,69 - 49,L,home,1672365600,https://media-3.api-sports.io/basketball/teams/2069.png
2022-12-31T22:00:00+00:00,pacific,loyola marymount,72 - 78,W,home,1672524000,https://media-1.api-sports.io/basketball/teams/2069.png
2023-01-06T03:00:00+00:00,pacific,san diego toreros,84 - 82,W,away,1672974000,https://media-1.api-sports.io/basketball/teams/2069.png
2023-01-08T01:00:00+00:00,pacific,pepperdine,80 - 75,W,away,1673139600,https://media-1.api-sports.io/basketball/teams/2069.png
2023-01-15T02:00:00+00:00,pacific,santa clara,,,home,1673748000,https://media-1.api-sports.io/basketball/teams/2069.png
2023-01-20T04:00:00+00:00,pacific,san francisco,,,away,1674187200,https://media-2.api-sports.io/basketball/teams/2069.png
2023-01-22T03:00:00+00:00,pacific,gonzaga,,,home,1674356400,https://media-1.api-sports.io/basketball/teams/2069.png
2023-01-28T22:00:00+00:00,pacific,santa clara,,,away,1674943200,https://media-3.api-sports.io/basketball/teams/2069.png
2023-02-02T21:00:00+00:00,pacific,pepperdine,,,home,1675371600,https://media-1.api-sports.io/basketball/teams/2069.png
2023-02-05T02:00:00+00:00,pacific,brigham young,,,away,1675562400,https://media-2.api-sports.io/basketball/teams/2069.png
2023-02-10T02:00:00+00:00,pacific,portland,,,away,1675994400,https://media-2.api-sports.io/basketball/teams/2069.png
2023-02-11T21:00:00+00:00,pacific,san diego toreros,,,home,1676149200,https://media-3.api-sports.io/basketball/teams/2069.png
2023-02-16T21:00:00+00:00,pacific,san francisco,,,home,1676581200,https://media-3.api-sports.io/basketball/teams/2069.png
2023-02-18T21:00:00+00:00,pacific,loyola marymount,,,away,1676754000,https://media-2.api-sports.io/basketball/teams/2069.png
2023-02-23T21:00:00+00:00,pacific,st. marys (ca),None - None,tie,away,1677186000,https://media-3.api-sports.io/basketball/teams/2069.png
2023-02-25T21:00:00+00:00,pacific,portland,None - None,tie,home,1677358800,https://media-3.api-sports.io/basketball/teams/2069.png
