Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-08T03:00:00+00:00,pepperdine,rice,67 - 106,W,home,1667876400,https://media-1.api-sports.io/basketball/teams/2074.png
2022-11-12T03:00:00+00:00,pepperdine,cs fullerton,71 - 74,L,away,1668222000,https://media-1.api-sports.io/basketball/teams/2074.png
2022-11-13T22:00:00+00:00,pepperdine,alabama state,62 - 91,W,home,1668376800,https://media-3.api-sports.io/basketball/teams/2074.png
2022-11-16T03:00:00+00:00,pepperdine,vanguard lions,80 - 94,W,home,1668567600,https://media-2.api-sports.io/basketball/teams/2074.png
2022-11-20T01:00:00+00:00,pepperdine,uc irvine,55 - 64,W,home,1668906000,https://media-1.api-sports.io/basketball/teams/2074.png
2022-11-24T03:30:00+00:00,pepperdine,ucla,53 - 100,L,away,1669260600,https://media-3.api-sports.io/basketball/teams/2074.png
2022-12-01T03:00:00+00:00,pepperdine,cal poly,None - None,tie,home,1669863600,https://media-1.api-sports.io/basketball/teams/2074.png
2022-12-04T01:00:00+00:00,pepperdine,northern arizona,69 - 88,W,home,1670115600,https://media-3.api-sports.io/basketball/teams/2074.png
2022-12-07T04:00:00+00:00,pepperdine,nevada,85 - 77,L,home,1670385600,https://media-1.api-sports.io/basketball/teams/2074.png
2022-12-11T01:00:00+00:00,pepperdine,uc santa barbara,67 - 64,L,home,1670720400,https://media-3.api-sports.io/basketball/teams/2074.png
2022-12-18T01:00:00+00:00,pepperdine,grand canyon,73 - 83,L,away,1671325200,https://media-1.api-sports.io/basketball/teams/2074.png
2022-12-19T21:00:00+00:00,pepperdine,cal state la,69 - 92,W,home,1671483600,https://media-1.api-sports.io/basketball/teams/2074.png
2022-12-23T04:00:00+00:00,pepperdine,hawaii,70 - 76,L,away,1671768000,https://media-3.api-sports.io/basketball/teams/2074.png
2022-12-24T03:00:00+00:00,pepperdine,george washington,70 - 81,W,home,1671850800,https://media-2.api-sports.io/basketball/teams/2074.png
2022-12-25T20:30:00+00:00,pepperdine,iona,76 - 66,L,home,1672000200,https://media-3.api-sports.io/basketball/teams/2074.png
2022-12-31T22:00:00+00:00,pepperdine,gonzaga,88 - 111,L,away,1672524000,https://media-1.api-sports.io/basketball/teams/2074.png
2023-01-06T03:00:00+00:00,pepperdine,santa clara,89 - 79,L,home,1672974000,https://media-2.api-sports.io/basketball/teams/2074.png
2023-01-08T01:00:00+00:00,pepperdine,pacific,80 - 75,L,home,1673139600,https://media-3.api-sports.io/basketball/teams/2074.png
2023-01-13T03:00:00+00:00,pepperdine,san diego toreros,,,away,1673578800,https://media-2.api-sports.io/basketball/teams/2074.png
2023-01-15T02:00:00+00:00,pepperdine,brigham young,,,away,1673748000,https://media-1.api-sports.io/basketball/teams/2074.png
2023-01-20T04:00:00+00:00,pepperdine,st. marys (ca),,,home,1674187200,https://media-2.api-sports.io/basketball/teams/2074.png
2023-01-21T23:00:00+00:00,pepperdine,portland,,,away,1674342000,https://media-1.api-sports.io/basketball/teams/2074.png
2023-01-26T21:00:00+00:00,pepperdine,san diego toreros,,,home,1674766800,https://media-2.api-sports.io/basketball/teams/2074.png
2023-01-28T21:00:00+00:00,pepperdine,loyola marymount,,,away,1674939600,https://media-1.api-sports.io/basketball/teams/2074.png
2023-02-02T21:00:00+00:00,pepperdine,pacific,,,away,1675371600,https://media-3.api-sports.io/basketball/teams/2074.png
2023-02-05T01:00:00+00:00,pepperdine,portland,,,home,1675558800,https://media-1.api-sports.io/basketball/teams/2074.png
2023-02-10T03:00:00+00:00,pepperdine,brigham young,,,home,1675998000,https://media-3.api-sports.io/basketball/teams/2074.png
2023-02-12T03:00:00+00:00,pepperdine,san francisco,,,away,1676170800,https://media-3.api-sports.io/basketball/teams/2074.png
2023-02-18T21:00:00+00:00,pepperdine,gonzaga,None - None,tie,home,1676754000,https://media-1.api-sports.io/basketball/teams/2074.png
2023-02-23T21:00:00+00:00,pepperdine,santa clara,None - None,tie,away,1677186000,https://media-1.api-sports.io/basketball/teams/2074.png
2023-02-25T21:00:00+00:00,pepperdine,loyola marymount,None - None,tie,home,1677358800,https://media-1.api-sports.io/basketball/teams/2074.png
