Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-08T03:30:00+00:00,portland,lewis &. clark state,62 - 89,W,home,1667878200,https://media-1.api-sports.io/basketball/teams/2080.png
2022-11-10T03:30:00+00:00,portland,florida a&m,54 - 91,W,home,1668051000,https://media-2.api-sports.io/basketball/teams/2080.png
2022-11-12T03:00:00+00:00,portland,portland state,91 - 98,W,home,1668222000,https://media-2.api-sports.io/basketball/teams/2080.png
2022-11-15T00:00:00+00:00,portland,kent state,65 - 77,L,away,1668470400,https://media-2.api-sports.io/basketball/teams/2080.png
2022-11-18T02:00:00+00:00,portland,air force,64 - 51,W,away,1668736800,https://media-2.api-sports.io/basketball/teams/2080.png
2022-11-20T01:00:00+00:00,portland,seattle,80 - 68,L,home,1668906000,https://media-2.api-sports.io/basketball/teams/2080.png
2022-11-24T18:00:00+00:00,portland,north carolina,89 - 81,L,home,1669312800,https://media-3.api-sports.io/basketball/teams/2080.png
2022-11-25T20:00:00+00:00,portland,villanova,83 - 71,W,away,1669406400,https://media-1.api-sports.io/basketball/teams/2080.png
2022-11-27T22:30:00+00:00,portland,michigan state,77 - 78,L,away,1669588200,https://media-1.api-sports.io/basketball/teams/2080.png
2022-12-01T03:00:00+00:00,portland,multnomah,79 - 100,W,home,1669863600,https://media-3.api-sports.io/basketball/teams/2080.png
2022-12-04T01:00:00+00:00,portland,north dakota,69 - 90,W,home,1670115600,https://media-2.api-sports.io/basketball/teams/2080.png
2022-12-06T03:00:00+00:00,portland,north dakota st,67 - 62,L,home,1670295600,https://media-2.api-sports.io/basketball/teams/2080.png
2022-12-11T01:30:00+00:00,portland,new orleans,61 - 100,W,home,1670722200,https://media-1.api-sports.io/basketball/teams/2080.png
2022-12-18T01:00:00+00:00,portland,oregon,56 - 78,L,away,1671325200,https://media-2.api-sports.io/basketball/teams/2080.png
2022-12-22T22:00:00+00:00,portland,uc riverside,65 - 76,L,away,1671746400,https://media-2.api-sports.io/basketball/teams/2080.png
2022-12-30T02:00:00+00:00,portland,loyola marymount,92 - 72,L,home,1672365600,https://media-1.api-sports.io/basketball/teams/2080.png
2023-01-01T02:00:00+00:00,portland,brigham young,58 - 71,L,away,1672538400,https://media-3.api-sports.io/basketball/teams/2080.png
2023-01-08T02:00:00+00:00,portland,st. marys (ca),43 - 85,L,away,1673143200,https://media-3.api-sports.io/basketball/teams/2080.png
2023-01-13T04:00:00+00:00,portland,san francisco,,,home,1673582400,https://media-3.api-sports.io/basketball/teams/2080.png
2023-01-15T03:00:00+00:00,portland,gonzaga,,,away,1673751600,https://media-2.api-sports.io/basketball/teams/2080.png
2023-01-20T02:00:00+00:00,portland,san diego toreros,,,home,1674180000,https://media-1.api-sports.io/basketball/teams/2080.png
2023-01-21T23:00:00+00:00,portland,pepperdine,,,home,1674342000,https://media-3.api-sports.io/basketball/teams/2080.png
2023-01-27T03:00:00+00:00,portland,loyola marymount,,,away,1674788400,https://media-2.api-sports.io/basketball/teams/2080.png
2023-01-29T00:00:00+00:00,portland,gonzaga,,,home,1674950400,https://media-2.api-sports.io/basketball/teams/2080.png
2023-02-03T03:00:00+00:00,portland,san diego toreros,,,away,1675393200,https://media-2.api-sports.io/basketball/teams/2080.png
2023-02-05T01:00:00+00:00,portland,pepperdine,,,away,1675558800,https://media-3.api-sports.io/basketball/teams/2080.png
2023-02-10T02:00:00+00:00,portland,pacific,,,home,1675994400,https://media-3.api-sports.io/basketball/teams/2080.png
2023-02-11T23:00:00+00:00,portland,st. marys (ca),,,home,1676156400,https://media-3.api-sports.io/basketball/teams/2080.png
2023-02-18T21:00:00+00:00,portland,santa clara,None - None,tie,home,1676754000,https://media-2.api-sports.io/basketball/teams/2080.png
2023-02-23T21:00:00+00:00,portland,san francisco,None - None,tie,away,1677186000,https://media-2.api-sports.io/basketball/teams/2080.png
2023-02-25T21:00:00+00:00,portland,pacific,None - None,tie,away,1677358800,https://media-2.api-sports.io/basketball/teams/2080.png
