Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-07T17:30:00+00:00,prairie view a&m,kansas christian,79 - 94,W,home,1667842200,https://media-1.api-sports.io/basketball/teams/2083.png
2022-11-10T00:00:00+00:00,prairie view a&m,north american stallions,68 - 95,W,home,1668038400,https://media-3.api-sports.io/basketball/teams/2083.png
2022-11-16T00:00:00+00:00,prairie view a&m,washington state,59 - 70,W,home,1668556800,https://media-3.api-sports.io/basketball/teams/2083.png
2022-11-20T20:00:00+00:00,prairie view a&m,ut martin,79 - 80,L,away,1668974400,https://media-2.api-sports.io/basketball/teams/2083.png
2022-11-23T01:00:00+00:00,prairie view a&m,utsa roadrunners,75 - 82,L,away,1669165200,https://media-2.api-sports.io/basketball/teams/2083.png
2022-11-26T01:00:00+00:00,prairie view a&m,arkansas state,67 - 59,W,away,1669424400,https://media-1.api-sports.io/basketball/teams/2083.png
2022-11-27T20:00:00+00:00,prairie view a&m,oklahoma state,53 - 78,L,away,1669579200,https://media-3.api-sports.io/basketball/teams/2083.png
2022-12-01T01:00:00+00:00,prairie view a&m,rice,62 - 70,L,away,1669856400,https://media-2.api-sports.io/basketball/teams/2083.png
2022-12-11T19:00:00+00:00,prairie view a&m,northwestern,51 - 61,L,away,1670785200,https://media-1.api-sports.io/basketball/teams/2083.png
2022-12-14T01:00:00+00:00,prairie view a&m,illinois (chi.),61 - 70,L,away,1670979600,https://media-2.api-sports.io/basketball/teams/2083.png
2022-12-17T17:50:00+00:00,prairie view a&m,montana,81 - 76,L,home,1671299400,https://media-3.api-sports.io/basketball/teams/2083.png
2022-12-21T02:00:00+00:00,prairie view a&m,new mexico,63 - 94,L,away,1671588000,https://media-1.api-sports.io/basketball/teams/2083.png
2022-12-31T00:00:00+00:00,prairie view a&m,texas a&m,66 - 86,L,away,1672444800,https://media-1.api-sports.io/basketball/teams/2083.png
2023-01-03T01:30:00+00:00,prairie view a&m,grambling st.,60 - 61,W,home,1672709400,https://media-1.api-sports.io/basketball/teams/2083.png
2023-01-05T01:30:00+00:00,prairie view a&m,southern univ.,66 - 62,L,home,1672882200,https://media-1.api-sports.io/basketball/teams/2083.png
2023-01-08T00:00:00+00:00,prairie view a&m,miss. valley st.,67 - 60,W,away,1673136000,https://media-3.api-sports.io/basketball/teams/2083.png
2023-01-10T02:15:00+00:00,prairie view a&m,arkansas-pine bluff,None - None,tie,away,1673316900,https://media-2.api-sports.io/basketball/teams/2083.png
2023-01-15T02:00:00+00:00,prairie view a&m,jackson state,,,home,1673748000,https://media-2.api-sports.io/basketball/teams/2083.png
2023-01-17T02:00:00+00:00,prairie view a&m,alcorn state,,,home,1673920800,https://media-3.api-sports.io/basketball/teams/2083.png
2023-01-21T23:30:00+00:00,prairie view a&m,alabama state,,,away,1674343800,https://media-1.api-sports.io/basketball/teams/2083.png
2023-01-24T01:00:00+00:00,prairie view a&m,alabama a&m,,,away,1674522000,https://media-2.api-sports.io/basketball/teams/2083.png
2023-01-29T02:00:00+00:00,prairie view a&m,texas southern,,,away,1674957600,https://media-3.api-sports.io/basketball/teams/2083.png
2023-02-04T21:00:00+00:00,prairie view a&m,bethune-cookman,,,home,1675544400,https://media-3.api-sports.io/basketball/teams/2083.png
2023-02-07T01:30:00+00:00,prairie view a&m,florida a&m,,,home,1675733400,https://media-3.api-sports.io/basketball/teams/2083.png
2023-02-11T23:30:00+00:00,prairie view a&m,southern univ.,,,away,1676158200,https://media-3.api-sports.io/basketball/teams/2083.png
2023-02-14T01:00:00+00:00,prairie view a&m,grambling st.,,,away,1676336400,https://media-3.api-sports.io/basketball/teams/2083.png
2023-02-18T23:30:00+00:00,prairie view a&m,arkansas-pine bluff,,,home,1676763000,https://media-2.api-sports.io/basketball/teams/2083.png
