Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-08T00:00:00+00:00,presbyterian,carolina university,42 - 76,W,home,1667865600,https://media-3.api-sports.io/basketball/teams/240.png
2022-11-11T00:00:00+00:00,presbyterian,citadel,58 - 70,L,away,1668124800,https://media-2.api-sports.io/basketball/teams/240.png
2022-11-12T21:00:00+00:00,presbyterian,east carolina,57 - 77,L,away,1668286800,https://media-3.api-sports.io/basketball/teams/240.png
2022-11-17T00:30:00+00:00,presbyterian,uab,61 - 92,L,away,1668645000,https://media-1.api-sports.io/basketball/teams/240.png
2022-11-21T19:00:00+00:00,presbyterian,bucknell,66 - 65,L,home,1669057200,https://media-1.api-sports.io/basketball/teams/240.png
2022-11-23T01:30:00+00:00,presbyterian,albany,68 - 65,L,home,1669167000,https://media-2.api-sports.io/basketball/teams/240.png
2022-11-26T21:00:00+00:00,presbyterian,charlotte,42 - 69,L,away,1669496400,https://media-3.api-sports.io/basketball/teams/240.png
2022-11-30T00:00:00+00:00,presbyterian,vmi,57 - 72,W,home,1669766400,https://media-1.api-sports.io/basketball/teams/240.png
2022-12-02T00:00:00+00:00,presbyterian,wofford,63 - 76,L,away,1669939200,https://media-2.api-sports.io/basketball/teams/240.png
2022-12-07T00:00:00+00:00,presbyterian,charleston,67 - 62,L,home,1670371200,https://media-3.api-sports.io/basketball/teams/240.png
2022-12-11T23:00:00+00:00,presbyterian,south carolina,57 - 68,L,away,1670799600,https://media-2.api-sports.io/basketball/teams/240.png
2022-12-15T17:00:00+00:00,presbyterian,elon,63 - 69,W,home,1671123600,https://media-3.api-sports.io/basketball/teams/240.png
2022-12-20T00:00:00+00:00,presbyterian,allen,70 - 90,W,home,1671494400,https://media-3.api-sports.io/basketball/teams/240.png
2022-12-29T22:00:00+00:00,presbyterian,campbell,72 - 82,W,home,1672351200,https://media-1.api-sports.io/basketball/teams/240.png
2022-12-31T19:00:00+00:00,presbyterian,radford,51 - 69,L,away,1672513200,https://media-1.api-sports.io/basketball/teams/240.png
2023-01-05T00:00:00+00:00,presbyterian,winthrop,72 - 82,L,away,1672876800,https://media-3.api-sports.io/basketball/teams/240.png
2023-01-07T19:00:00+00:00,presbyterian,charleston southern,67 - 61,L,home,1673118000,https://media-2.api-sports.io/basketball/teams/240.png
2023-01-12T00:00:00+00:00,presbyterian,gardner webb,,,home,1673481600,https://media-2.api-sports.io/basketball/teams/240.png
2023-01-15T00:00:00+00:00,presbyterian,high point,,,away,1673740800,https://media-1.api-sports.io/basketball/teams/240.png
2023-01-19T00:00:00+00:00,presbyterian,usc upstate,,,away,1674086400,https://media-2.api-sports.io/basketball/teams/240.png
2023-01-21T19:00:00+00:00,presbyterian,longwood,,,home,1674327600,https://media-2.api-sports.io/basketball/teams/240.png
2023-01-25T23:30:00+00:00,presbyterian,unc asheville,,,away,1674689400,https://media-1.api-sports.io/basketball/teams/240.png
2023-01-28T19:00:00+00:00,presbyterian,winthrop,,,home,1674932400,https://media-3.api-sports.io/basketball/teams/240.png
2023-02-02T00:00:00+00:00,presbyterian,radford,,,home,1675296000,https://media-2.api-sports.io/basketball/teams/240.png
2023-02-04T19:00:00+00:00,presbyterian,gardner webb,,,away,1675537200,https://media-2.api-sports.io/basketball/teams/240.png
2023-02-09T00:00:00+00:00,presbyterian,longwood,,,away,1675900800,https://media-3.api-sports.io/basketball/teams/240.png
2023-02-11T19:00:00+00:00,presbyterian,unc asheville,,,home,1676142000,https://media-2.api-sports.io/basketball/teams/240.png
2023-02-16T00:00:00+00:00,presbyterian,high point,,,home,1676505600,https://media-3.api-sports.io/basketball/teams/240.png
2023-02-18T19:00:00+00:00,presbyterian,campbell,,,away,1676746800,https://media-1.api-sports.io/basketball/teams/240.png
