Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-08T00:00:00+00:00,queens royals,marshall,82 - 83,W,home,1667865600,https://media-3.api-sports.io/basketball/teams/5839.png
2022-11-10T17:00:00+00:00,queens royals,clinton,65 - 99,W,home,1668099600,https://media-2.api-sports.io/basketball/teams/5839.png
2022-11-16T00:00:00+00:00,queens royals,la salle,60 - 72,L,away,1668556800,https://media-3.api-sports.io/basketball/teams/5839.png
2022-11-18T16:30:00+00:00,queens royals,wisc. green bay,65 - 81,W,home,1668789000,https://media-3.api-sports.io/basketball/teams/5839.png
2022-11-20T22:00:00+00:00,queens royals,morgan state,74 - 64,W,away,1668981600,https://media-3.api-sports.io/basketball/teams/5839.png
2022-11-23T23:00:00+00:00,queens royals,lynchburg,72 - 107,W,home,1669244400,https://media-3.api-sports.io/basketball/teams/5839.png
2022-11-26T19:00:00+00:00,queens royals,george mason,65 - 72,L,away,1669489200,https://media-3.api-sports.io/basketball/teams/5839.png
2022-11-30T00:00:00+00:00,queens royals,bowling green,72 - 66,W,away,1669766400,https://media-1.api-sports.io/basketball/teams/5839.png
2022-12-03T20:00:00+00:00,queens royals,paine,60 - 89,W,home,1670097600,https://media-2.api-sports.io/basketball/teams/5839.png
2022-12-10T00:00:00+00:00,queens royals,high point,87 - 79,W,away,1670630400,https://media-2.api-sports.io/basketball/teams/5839.png
2022-12-15T00:00:00+00:00,queens royals,east tennessee st,78 - 75,W,away,1671062400,https://media-1.api-sports.io/basketball/teams/5839.png
2022-12-21T00:30:00+00:00,queens royals,nebraska,65 - 75,L,away,1671582600,https://media-3.api-sports.io/basketball/teams/5839.png
2022-12-23T00:00:00+00:00,queens royals,fairleigh dickinson,82 - 73,W,away,1671753600,https://media-2.api-sports.io/basketball/teams/5839.png
2022-12-29T23:00:00+00:00,queens royals,austin peay,77 - 81,W,home,1672354800,https://media-2.api-sports.io/basketball/teams/5839.png
2022-12-31T21:00:00+00:00,queens royals,eastern kentucky,83 - 88,L,away,1672520400,https://media-3.api-sports.io/basketball/teams/5839.png
2023-01-05T23:30:00+00:00,queens royals,bellarmine,75 - 74,W,away,1672961400,https://media-3.api-sports.io/basketball/teams/5839.png
2023-01-08T01:00:00+00:00,queens royals,kennesaw state,76 - 67,L,home,1673139600,https://media-3.api-sports.io/basketball/teams/5839.png
2023-01-13T00:00:00+00:00,queens royals,central arkansas,,,home,1673568000,https://media-3.api-sports.io/basketball/teams/5839.png
2023-01-14T18:00:00+00:00,queens royals,north alabama,,,home,1673719200,https://media-2.api-sports.io/basketball/teams/5839.png
2023-01-20T00:00:00+00:00,queens royals,north florida,,,away,1674172800,https://media-3.api-sports.io/basketball/teams/5839.png
2023-01-21T21:00:00+00:00,queens royals,jacksonville,,,away,1674334800,https://media-3.api-sports.io/basketball/teams/5839.png
2023-01-27T00:00:00+00:00,queens royals,florida gulf coast,,,home,1674777600,https://media-1.api-sports.io/basketball/teams/5839.png
2023-01-28T18:00:00+00:00,queens royals,stetson,,,home,1674928800,https://media-1.api-sports.io/basketball/teams/5839.png
2023-02-03T01:00:00+00:00,queens royals,lipscomb,,,away,1675386000,https://media-1.api-sports.io/basketball/teams/5839.png
2023-02-04T21:00:00+00:00,queens royals,austin peay,,,away,1675544400,https://media-2.api-sports.io/basketball/teams/5839.png
2023-02-10T00:00:00+00:00,queens royals,eastern kentucky,,,home,1675987200,https://media-2.api-sports.io/basketball/teams/5839.png
2023-02-11T18:00:00+00:00,queens royals,bellarmine,,,home,1676138400,https://media-2.api-sports.io/basketball/teams/5839.png
2023-02-17T00:00:00+00:00,queens royals,jacksonville state,,,away,1676592000,https://media-3.api-sports.io/basketball/teams/5839.png
2023-02-18T19:00:00+00:00,queens royals,kennesaw state,,,away,1676746800,https://media-2.api-sports.io/basketball/teams/5839.png
2023-02-22T21:00:00+00:00,queens royals,liberty,None - None,tie,home,1677099600,https://media-3.api-sports.io/basketball/teams/2430.png
2023-02-24T21:00:00+00:00,queens royals,liberty,None - None,tie,away,1677272400,https://media-2.api-sports.io/basketball/teams/2430.png
