Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-08T01:30:00+00:00,radford,marquette,69 - 79,L,away,1667871000,https://media-3.api-sports.io/basketball/teams/2087.png
2022-11-11T01:00:00+00:00,radford,notre dame,76 - 79,L,away,1668128400,https://media-2.api-sports.io/basketball/teams/2087.png
2022-11-15T00:00:00+00:00,radford,bridgewater college (va),46 - 97,W,home,1668470400,https://media-2.api-sports.io/basketball/teams/2087.png
2022-11-17T00:00:00+00:00,radford,averett,34 - 79,W,home,1668643200,https://media-1.api-sports.io/basketball/teams/2087.png
2022-11-20T19:00:00+00:00,radford,army,75 - 90,W,home,1668970800,https://media-2.api-sports.io/basketball/teams/2087.png
2022-11-23T19:00:00+00:00,radford,william & mary,51 - 62,L,away,1669230000,https://media-3.api-sports.io/basketball/teams/2087.png
2022-11-27T19:00:00+00:00,radford,elon,69 - 53,W,away,1669575600,https://media-3.api-sports.io/basketball/teams/2087.png
2022-12-02T00:00:00+00:00,radford,n. carolina central,78 - 80,W,home,1669939200,https://media-2.api-sports.io/basketball/teams/2087.png
2022-12-04T19:00:00+00:00,radford,george washington,76 - 86,W,home,1670180400,https://media-3.api-sports.io/basketball/teams/2087.png
2022-12-10T18:00:00+00:00,radford,vmi,74 - 77,L,away,1670695200,https://media-1.api-sports.io/basketball/teams/2087.png
2022-12-15T00:00:00+00:00,radford,vcu rams,62 - 70,L,away,1671062400,https://media-3.api-sports.io/basketball/teams/2087.png
2022-12-17T19:00:00+00:00,radford,eastern kentucky,65 - 67,L,away,1671303600,https://media-1.api-sports.io/basketball/teams/2087.png
2022-12-21T19:30:00+00:00,radford,kansas state,65 - 73,L,away,1671651000,https://media-2.api-sports.io/basketball/teams/2087.png
2022-12-29T21:00:00+00:00,radford,unc asheville,58 - 62,L,away,1672347600,https://media-1.api-sports.io/basketball/teams/2087.png
2022-12-31T19:00:00+00:00,radford,presbyterian,51 - 69,W,home,1672513200,https://media-3.api-sports.io/basketball/teams/2087.png
2023-01-05T00:00:00+00:00,radford,usc upstate,65 - 60,L,home,1672876800,https://media-1.api-sports.io/basketball/teams/2087.png
2023-01-07T19:00:00+00:00,radford,gardner webb,63 - 59,W,away,1673118000,https://media-1.api-sports.io/basketball/teams/2087.png
2023-01-12T00:00:00+00:00,radford,winthrop,,,away,1673481600,https://media-1.api-sports.io/basketball/teams/2087.png
2023-01-14T19:00:00+00:00,radford,charleston southern,,,home,1673722800,https://media-1.api-sports.io/basketball/teams/2087.png
2023-01-19T00:00:00+00:00,radford,campbell,,,away,1674086400,https://media-3.api-sports.io/basketball/teams/2087.png
2023-01-21T19:00:00+00:00,radford,high point,,,home,1674327600,https://media-1.api-sports.io/basketball/teams/2087.png
2023-01-26T00:00:00+00:00,radford,longwood,,,home,1674691200,https://media-2.api-sports.io/basketball/teams/2087.png
2023-01-28T19:00:00+00:00,radford,usc upstate,,,away,1674932400,https://media-2.api-sports.io/basketball/teams/2087.png
2023-02-02T00:00:00+00:00,radford,presbyterian,,,away,1675296000,https://media-3.api-sports.io/basketball/teams/2087.png
2023-02-04T19:00:00+00:00,radford,winthrop,,,home,1675537200,https://media-1.api-sports.io/basketball/teams/2087.png
2023-02-09T00:00:00+00:00,radford,gardner webb,,,home,1675900800,https://media-1.api-sports.io/basketball/teams/2087.png
2023-02-11T22:30:00+00:00,radford,charleston southern,,,away,1676154600,https://media-2.api-sports.io/basketball/teams/2087.png
2023-02-16T00:00:00+00:00,radford,unc asheville,,,home,1676505600,https://media-1.api-sports.io/basketball/teams/2087.png
2023-02-18T20:00:00+00:00,radford,longwood,,,away,1676750400,https://media-1.api-sports.io/basketball/teams/2087.png
