Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-09T03:00:00+00:00,san jose state,georgia southern,48 - 63,W,home,1667962800,https://media-2.api-sports.io/basketball/teams/2110.png
2022-11-12T21:00:00+00:00,san jose state,bethesda,68 - 90,W,home,1668286800,https://media-3.api-sports.io/basketball/teams/2110.png
2022-11-16T03:00:00+00:00,san jose state,alabama state,57 - 70,W,home,1668567600,https://media-1.api-sports.io/basketball/teams/2110.png
2022-11-18T03:00:00+00:00,san jose state,hofstra,85 - 76,L,home,1668740400,https://media-1.api-sports.io/basketball/teams/2110.png
2022-11-19T21:00:00+00:00,san jose state,northern colorado,80 - 69,W,away,1668891600,https://media-2.api-sports.io/basketball/teams/2110.png
2022-11-25T22:30:00+00:00,san jose state,north texas,69 - 54,L,home,1669415400,https://media-1.api-sports.io/basketball/teams/2110.png
2022-11-26T19:30:00+00:00,san jose state,oakland,80 - 67,W,away,1669491000,https://media-1.api-sports.io/basketball/teams/2110.png
2022-11-27T19:30:00+00:00,san jose state,ball state,65 - 67,W,home,1669577400,https://media-1.api-sports.io/basketball/teams/2110.png
2022-12-03T21:00:00+00:00,san jose state,arkansas,58 - 99,L,away,1670101200,https://media-1.api-sports.io/basketball/teams/2110.png
2022-12-07T03:00:00+00:00,san jose state,csu bakersfield,48 - 58,W,home,1670382000,https://media-3.api-sports.io/basketball/teams/2110.png
2022-12-10T22:00:00+00:00,san jose state,santa clara,75 - 64,W,away,1670709600,https://media-1.api-sports.io/basketball/teams/2110.png
2022-12-18T00:00:00+00:00,san jose state,pacific,58 - 59,L,away,1671321600,https://media-1.api-sports.io/basketball/teams/2110.png
2022-12-21T03:00:00+00:00,san jose state,cal poly,43 - 65,W,home,1671591600,https://media-3.api-sports.io/basketball/teams/2110.png
2022-12-29T03:00:00+00:00,san jose state,unlv,72 - 75,W,home,1672282800,https://media-2.api-sports.io/basketball/teams/2110.png
2022-12-31T21:00:00+00:00,san jose state,colorado state,78 - 70,W,away,1672520400,https://media-2.api-sports.io/basketball/teams/2110.png
2023-01-04T02:00:00+00:00,san jose state,boise state,64 - 67,L,away,1672797600,https://media-3.api-sports.io/basketball/teams/2110.png
2023-01-07T21:00:00+00:00,san jose state,nevada,67 - 40,L,home,1673125200,https://media-2.api-sports.io/basketball/teams/2110.png
2023-01-10T18:00:00+00:00,san jose state,fresno state,,,home,1673373600,https://media-2.api-sports.io/basketball/teams/2110.png
2023-01-18T02:00:00+00:00,san jose state,new mexico,,,away,1674007200,https://media-1.api-sports.io/basketball/teams/2110.png
2023-01-21T23:00:00+00:00,san jose state,utah state,,,away,1674342000,https://media-3.api-sports.io/basketball/teams/2110.png
2023-01-24T18:00:00+00:00,san jose state,air force,,,home,1674583200,https://media-3.api-sports.io/basketball/teams/2110.png
2023-01-29T02:00:00+00:00,san jose state,san diego state,,,away,1674957600,https://media-3.api-sports.io/basketball/teams/2110.png
2023-02-05T03:00:00+00:00,san jose state,wyoming,,,home,1675566000,https://media-2.api-sports.io/basketball/teams/2110.png
2023-02-08T04:00:00+00:00,san jose state,fresno state,,,away,1675828800,https://media-2.api-sports.io/basketball/teams/2110.png
2023-02-12T03:00:00+00:00,san jose state,utah state,,,home,1676170800,https://media-2.api-sports.io/basketball/teams/2110.png
2023-02-15T03:00:00+00:00,san jose state,unlv,,,away,1676430000,https://media-2.api-sports.io/basketball/teams/2110.png
2023-02-18T03:30:00+00:00,san jose state,new mexico,,,home,1676691000,https://media-2.api-sports.io/basketball/teams/2110.png
