Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-08T03:00:00+00:00,st. marys (ca),oral roberts,70 - 78,W,home,1667876400,https://media-3.api-sports.io/basketball/teams/5863.png
2022-11-11T03:00:00+00:00,st. marys (ca),vermont,53 - 79,W,home,1668135600,https://media-3.api-sports.io/basketball/teams/5863.png
2022-11-14T01:00:00+00:00,st. marys (ca),north texas,33 - 63,W,home,1668387600,https://media-2.api-sports.io/basketball/teams/5863.png
2022-11-17T01:30:00+00:00,st. marys (ca),southern univ.,54 - 72,W,home,1668648600,https://media-2.api-sports.io/basketball/teams/5863.png
2022-11-20T01:30:00+00:00,st. marys (ca),hofstra,48 - 76,W,home,1668907800,https://media-3.api-sports.io/basketball/teams/5863.png
2022-11-24T04:59:00+00:00,st. marys (ca),vanderbilt,75 - 65,W,away,1669265940,https://media-3.api-sports.io/basketball/teams/5863.png
2022-11-25T05:30:00+00:00,st. marys (ca),washington,68 - 64,L,home,1669354200,https://media-3.api-sports.io/basketball/teams/5863.png
2022-12-01T03:00:00+00:00,st. marys (ca),new mexico,69 - 65,L,home,1669863600,https://media-2.api-sports.io/basketball/teams/5863.png
2022-12-04T02:30:00+00:00,st. marys (ca),houston,48 - 53,L,away,1670121000,https://media-3.api-sports.io/basketball/teams/5863.png
2022-12-08T03:00:00+00:00,st. marys (ca),missouri state,46 - 66,W,home,1670468400,https://media-2.api-sports.io/basketball/teams/5863.png
2022-12-10T20:00:00+00:00,st. marys (ca),san diego state,61 - 68,W,home,1670702400,https://media-3.api-sports.io/basketball/teams/5863.png
2022-12-15T03:00:00+00:00,st. marys (ca),new mexico state,68 - 81,W,home,1671073200,https://media-1.api-sports.io/basketball/teams/5863.png
2022-12-19T01:00:00+00:00,st. marys (ca),colorado state,62 - 60,L,home,1671411600,https://media-3.api-sports.io/basketball/teams/5863.png
2022-12-22T01:30:00+00:00,st. marys (ca),wyoming,66 - 54,W,away,1671672600,https://media-2.api-sports.io/basketball/teams/5863.png
2022-12-30T02:00:00+00:00,st. marys (ca),san diego toreros,58 - 85,W,home,1672365600,https://media-3.api-sports.io/basketball/teams/5863.png
2023-01-01T00:00:00+00:00,st. marys (ca),santa clara,67 - 64,W,away,1672531200,https://media-1.api-sports.io/basketball/teams/5863.png
2023-01-08T02:00:00+00:00,st. marys (ca),portland,43 - 85,W,home,1673143200,https://media-3.api-sports.io/basketball/teams/5863.png
2023-01-13T02:00:00+00:00,st. marys (ca),loyola marymount,,,home,1673575200,https://media-3.api-sports.io/basketball/teams/5863.png
2023-01-15T03:00:00+00:00,st. marys (ca),san francisco,,,away,1673751600,https://media-2.api-sports.io/basketball/teams/5863.png
2023-01-20T04:00:00+00:00,st. marys (ca),pepperdine,,,away,1674187200,https://media-1.api-sports.io/basketball/teams/5863.png
2023-01-22T01:00:00+00:00,st. marys (ca),santa clara,,,home,1674349200,https://media-3.api-sports.io/basketball/teams/5863.png
2023-01-29T03:00:00+00:00,st. marys (ca),brigham young,,,away,1674961200,https://media-1.api-sports.io/basketball/teams/5863.png
2023-02-03T04:00:00+00:00,st. marys (ca),san francisco,,,home,1675396800,https://media-3.api-sports.io/basketball/teams/5863.png
2023-02-04T21:00:00+00:00,st. marys (ca),gonzaga,,,home,1675544400,https://media-3.api-sports.io/basketball/teams/5863.png
2023-02-10T03:00:00+00:00,st. marys (ca),loyola marymount,,,away,1675998000,https://media-1.api-sports.io/basketball/teams/5863.png
2023-02-11T23:00:00+00:00,st. marys (ca),portland,,,away,1676156400,https://media-1.api-sports.io/basketball/teams/5863.png
2023-02-17T03:00:00+00:00,st. marys (ca),san diego toreros,,,away,1676602800,https://media-2.api-sports.io/basketball/teams/5863.png
2023-02-18T21:00:00+00:00,st. marys (ca),brigham young,None - None,tie,home,1676754000,https://media-2.api-sports.io/basketball/teams/2130.png
2023-02-23T21:00:00+00:00,st. marys (ca),pacific,None - None,tie,home,1677186000,https://media-3.api-sports.io/basketball/teams/2130.png
2023-02-25T21:00:00+00:00,st. marys (ca),gonzaga,None - None,tie,away,1677358800,https://media-2.api-sports.io/basketball/teams/2130.png
