Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-08T00:00:00+00:00,tennessee,tennessee tech,43 - 75,W,home,1667865600,https://media-2.api-sports.io/basketball/teams/2141.png
2022-11-13T19:00:00+00:00,tennessee,colorado,78 - 66,L,home,1668366000,https://media-1.api-sports.io/basketball/teams/2141.png
2022-11-17T00:00:00+00:00,tennessee,florida gulf coast,50 - 81,W,home,1668643200,https://media-1.api-sports.io/basketball/teams/2141.png
2022-11-24T00:30:00+00:00,tennessee,butler,45 - 71,W,home,1669249800,https://media-1.api-sports.io/basketball/teams/2141.png
2022-11-24T18:30:00+00:00,tennessee,usc,73 - 66,W,away,1669314600,https://media-2.api-sports.io/basketball/teams/2141.png
2022-11-26T00:30:00+00:00,tennessee,kansas,64 - 50,W,away,1669422600,https://media-1.api-sports.io/basketball/teams/2141.png
2022-12-01T00:15:00+00:00,tennessee,mcneese state,40 - 76,W,home,1669853700,https://media-1.api-sports.io/basketball/teams/2141.png
2022-12-04T23:00:00+00:00,tennessee,alcorn state,40 - 94,W,home,1670194800,https://media-1.api-sports.io/basketball/teams/2141.png
2022-12-08T00:00:00+00:00,tennessee,eastern kentucky,49 - 84,W,home,1670457600,https://media-3.api-sports.io/basketball/teams/2141.png
2022-12-11T21:30:00+00:00,tennessee,maryland,53 - 56,W,home,1670794200,https://media-3.api-sports.io/basketball/teams/2141.png
2022-12-18T03:30:00+00:00,tennessee,arizona,70 - 75,L,away,1671334200,https://media-1.api-sports.io/basketball/teams/2141.png
2022-12-21T23:00:00+00:00,tennessee,austin peay,44 - 86,W,home,1671663600,https://media-3.api-sports.io/basketball/teams/2141.png
2022-12-28T22:00:00+00:00,tennessee,ole miss,63 - 59,W,away,1672264800,https://media-2.api-sports.io/basketball/teams/2141.png
2023-01-04T00:00:00+00:00,tennessee,mississippi st.,53 - 87,W,home,1672790400,https://media-3.api-sports.io/basketball/teams/2141.png
2023-01-07T20:30:00+00:00,tennessee,south carolina,85 - 42,W,away,1673123400,https://media-1.api-sports.io/basketball/teams/2141.png
2023-01-11T02:00:00+00:00,tennessee,vanderbilt,68 - 77,W,home,1673402400,https://media-2.api-sports.io/basketball/teams/2141.png
2023-01-14T17:00:00+00:00,tennessee,kentucky,,,home,1673715600,https://media-2.api-sports.io/basketball/teams/2141.png
2023-01-18T00:00:00+00:00,tennessee,mississippi st.,,,away,1674000000,https://media-1.api-sports.io/basketball/teams/2141.png
2023-01-21T21:00:00+00:00,tennessee,lsu,,,away,1674334800,https://media-1.api-sports.io/basketball/teams/2141.png
2023-01-26T00:00:00+00:00,tennessee,georgia,,,home,1674691200,https://media-2.api-sports.io/basketball/teams/2141.png
2023-01-28T21:00:00+00:00,tennessee,texas,,,home,1674939600,https://media-3.api-sports.io/basketball/teams/2141.png
2023-02-02T00:00:00+00:00,tennessee,florida,,,away,1675296000,https://media-3.api-sports.io/basketball/teams/2141.png
2023-02-04T19:00:00+00:00,tennessee,auburn,,,home,1675537200,https://media-1.api-sports.io/basketball/teams/2141.png
2023-02-09T00:00:00+00:00,tennessee,vanderbilt,,,away,1675900800,https://media-1.api-sports.io/basketball/teams/2141.png
2023-02-11T23:00:00+00:00,tennessee,missouri,,,home,1676156400,https://media-3.api-sports.io/basketball/teams/2141.png
2023-02-16T00:00:00+00:00,tennessee,alabama,,,home,1676505600,https://media-2.api-sports.io/basketball/teams/2141.png
2023-02-18T18:00:00+00:00,tennessee,kentucky,,,away,1676743200,https://media-2.api-sports.io/basketball/teams/2141.png
