Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-08T03:00:00+00:00,uc santa barbara,san francisco state,59 - 75,W,home,1667876400,https://media-2.api-sports.io/basketball/teams/2164.png
2022-11-11T22:00:00+00:00,uc santa barbara,fresno state,54 - 61,W,home,1668204000,https://media-3.api-sports.io/basketball/teams/2164.png
2022-11-19T01:00:00+00:00,uc santa barbara,northern arizona,54 - 63,L,away,1668819600,https://media-3.api-sports.io/basketball/teams/2164.png
2022-11-22T02:00:00+00:00,uc santa barbara,hampton,66 - 79,W,home,1669082400,https://media-1.api-sports.io/basketball/teams/2164.png
2022-11-24T03:00:00+00:00,uc santa barbara,north alabama,71 - 89,W,home,1669258800,https://media-2.api-sports.io/basketball/teams/2164.png
2022-11-30T00:00:00+00:00,uc santa barbara,duquesne,61 - 72,L,away,1669766400,https://media-2.api-sports.io/basketball/teams/2164.png
2022-12-03T22:00:00+00:00,uc santa barbara,pacific,71 - 82,W,home,1670104800,https://media-1.api-sports.io/basketball/teams/2164.png
2022-12-11T01:00:00+00:00,uc santa barbara,pepperdine,67 - 64,W,away,1670720400,https://media-3.api-sports.io/basketball/teams/2164.png
2022-12-13T03:00:00+00:00,uc santa barbara,san diego christian,68 - 81,W,home,1670900400,https://media-1.api-sports.io/basketball/teams/2164.png
2022-12-18T03:00:00+00:00,uc santa barbara,portland state,85 - 73,W,away,1671332400,https://media-1.api-sports.io/basketball/teams/2164.png
2022-12-21T23:00:00+00:00,uc santa barbara,appalachian state,61 - 50,W,away,1671663600,https://media-2.api-sports.io/basketball/teams/2164.png
2022-12-30T02:00:00+00:00,uc santa barbara,cs fullerton,66 - 58,W,away,1672365600,https://media-3.api-sports.io/basketball/teams/2164.png
2023-01-01T00:00:00+00:00,uc santa barbara,uc san diego,61 - 82,W,home,1672531200,https://media-1.api-sports.io/basketball/teams/2164.png
2023-01-07T21:00:00+00:00,uc santa barbara,cal poly,62 - 57,W,away,1673125200,https://media-1.api-sports.io/basketball/teams/2164.png
2023-01-12T03:00:00+00:00,uc santa barbara,csu bakersfield,,,away,1673492400,https://media-2.api-sports.io/basketball/teams/2164.png
2023-01-15T03:00:00+00:00,uc santa barbara,uc riverside,,,home,1673751600,https://media-2.api-sports.io/basketball/teams/2164.png
2023-01-17T02:00:00+00:00,uc santa barbara,uc irvine,,,away,1673920800,https://media-2.api-sports.io/basketball/teams/2164.png
2023-01-20T03:00:00+00:00,uc santa barbara,cs northridge,,,home,1674183600,https://media-1.api-sports.io/basketball/teams/2164.png
2023-01-22T03:00:00+00:00,uc santa barbara,csu bakersfield,,,home,1674356400,https://media-3.api-sports.io/basketball/teams/2164.png
2023-01-27T04:59:00+00:00,uc santa barbara,hawaii,,,away,1674795540,https://media-1.api-sports.io/basketball/teams/2164.png
2023-02-03T03:00:00+00:00,uc santa barbara,cal poly,,,home,1675393200,https://media-1.api-sports.io/basketball/teams/2164.png
2023-02-05T03:00:00+00:00,uc santa barbara,cs northridge,,,away,1675566000,https://media-3.api-sports.io/basketball/teams/2164.png
2023-02-10T03:00:00+00:00,uc santa barbara,long beach state,,,away,1675998000,https://media-3.api-sports.io/basketball/teams/2164.png
2023-02-12T03:00:00+00:00,uc santa barbara,uc davis,,,home,1676170800,https://media-2.api-sports.io/basketball/teams/2164.png
2023-02-16T03:00:00+00:00,uc santa barbara,uc irvine,,,home,1676516400,https://media-3.api-sports.io/basketball/teams/2164.png
2023-02-18T21:00:00+00:00,uc santa barbara,uc riverside,None - None,tie,away,1676754000,https://media-3.api-sports.io/basketball/teams/2164.png
2023-02-20T21:00:00+00:00,uc santa barbara,cs fullerton,None - None,tie,home,1676926800,https://media-3.api-sports.io/basketball/teams/2164.png
2023-02-23T21:00:00+00:00,uc santa barbara,long beach state,None - None,tie,home,1677186000,https://media-2.api-sports.io/basketball/teams/2164.png
2023-02-25T21:00:00+00:00,uc santa barbara,uc san diego,None - None,tie,away,1677358800,https://media-3.api-sports.io/basketball/teams/2164.png
