Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-08T04:30:00+00:00,ucla,sacramento state,50 - 76,W,home,1667881800,https://media-3.api-sports.io/basketball/teams/2166.png
2022-11-12T04:00:00+00:00,ucla,long beach state,69 - 93,W,home,1668225600,https://media-2.api-sports.io/basketball/teams/2166.png
2022-11-15T03:00:00+00:00,ucla,norfolk state,56 - 86,W,home,1668481200,https://media-1.api-sports.io/basketball/teams/2166.png
2022-11-19T02:30:00+00:00,ucla,illinois,79 - 70,L,home,1668825000,https://media-2.api-sports.io/basketball/teams/2166.png
2022-11-20T22:30:00+00:00,ucla,baylor,75 - 80,L,away,1668983400,https://media-3.api-sports.io/basketball/teams/2166.png
2022-11-24T03:30:00+00:00,ucla,pepperdine,53 - 100,W,home,1669260600,https://media-2.api-sports.io/basketball/teams/2166.png
2022-11-28T00:00:00+00:00,ucla,bellarmine,60 - 81,W,home,1669593600,https://media-1.api-sports.io/basketball/teams/2166.png
2022-12-02T03:30:00+00:00,ucla,stanford,80 - 66,W,away,1669951800,https://media-1.api-sports.io/basketball/teams/2166.png
2022-12-04T22:00:00+00:00,ucla,oregon,56 - 65,W,home,1670191200,https://media-1.api-sports.io/basketball/teams/2166.png
2022-12-10T20:00:00+00:00,ucla,denver,64 - 87,W,home,1670702400,https://media-2.api-sports.io/basketball/teams/2166.png
2022-12-15T02:00:00+00:00,ucla,maryland,87 - 60,W,away,1671069600,https://media-3.api-sports.io/basketball/teams/2166.png
2022-12-17T22:15:00+00:00,ucla,kentucky,63 - 53,W,away,1671315300,https://media-1.api-sports.io/basketball/teams/2166.png
2022-12-21T22:00:00+00:00,ucla,uc davis,54 - 81,W,home,1671660000,https://media-3.api-sports.io/basketball/teams/2166.png
2022-12-31T04:00:00+00:00,ucla,washington state,67 - 66,W,away,1672459200,https://media-3.api-sports.io/basketball/teams/2166.png
2023-01-02T00:00:00+00:00,ucla,washington,74 - 49,W,away,1672617600,https://media-2.api-sports.io/basketball/teams/2166.png
2023-01-06T02:30:00+00:00,ucla,usc,58 - 60,W,home,1672972200,https://media-3.api-sports.io/basketball/teams/2166.png
2023-01-13T04:00:00+00:00,ucla,utah utes,,,home,1673582400,https://media-3.api-sports.io/basketball/teams/2166.png
2023-01-14T20:00:00+00:00,ucla,colorado,,,home,1673726400,https://media-1.api-sports.io/basketball/teams/2166.png
2023-01-20T03:30:00+00:00,ucla,arizona state,,,away,1674185400,https://media-3.api-sports.io/basketball/teams/2166.png
2023-01-21T19:00:00+00:00,ucla,arizona,,,away,1674327600,https://media-2.api-sports.io/basketball/teams/2166.png
2023-01-27T02:00:00+00:00,ucla,usc,,,away,1674784800,https://media-1.api-sports.io/basketball/teams/2166.png
2023-02-03T02:00:00+00:00,ucla,washington,,,home,1675389600,https://media-2.api-sports.io/basketball/teams/2166.png
2023-02-05T00:00:00+00:00,ucla,washington state,,,home,1675555200,https://media-2.api-sports.io/basketball/teams/2166.png
2023-02-10T02:00:00+00:00,ucla,oregon state,,,away,1675994400,https://media-1.api-sports.io/basketball/teams/2166.png
2023-02-11T21:00:00+00:00,ucla,oregon,,,away,1676149200,https://media-2.api-sports.io/basketball/teams/2166.png
2023-02-17T04:00:00+00:00,ucla,stanford,,,home,1676606400,https://media-1.api-sports.io/basketball/teams/2166.png
