Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-08T00:00:00+00:00,ut martin,pittsburgh,58 - 80,L,away,1667865600,https://media-1.api-sports.io/basketball/teams/5879.png
2022-11-10T00:00:00+00:00,ut martin,youngstown state,72 - 90,L,away,1668038400,https://media-2.api-sports.io/basketball/teams/5879.png
2022-11-12T20:00:00+00:00,ut martin,champion christian tigers,65 - 124,W,home,1668283200,https://media-1.api-sports.io/basketball/teams/5879.png
2022-11-16T00:00:00+00:00,ut martin,harris-stowe,53 - 96,W,home,1668556800,https://media-2.api-sports.io/basketball/teams/5879.png
2022-11-19T00:30:00+00:00,ut martin,ole miss,68 - 72,L,away,1668817800,https://media-3.api-sports.io/basketball/teams/5879.png
2022-11-20T20:00:00+00:00,ut martin,prairie view a&m,79 - 80,W,home,1668974400,https://media-1.api-sports.io/basketball/teams/5879.png
2022-11-22T23:00:00+00:00,ut martin,arkansas state,64 - 70,L,away,1669158000,https://media-1.api-sports.io/basketball/teams/5879.png
2022-11-29T00:00:00+00:00,ut martin,mcneese state,83 - 86,W,home,1669680000,https://media-2.api-sports.io/basketball/teams/5879.png
2022-12-03T19:00:00+00:00,ut martin,unc asheville,83 - 90,L,away,1670094000,https://media-2.api-sports.io/basketball/teams/5879.png
2022-12-11T20:00:00+00:00,ut martin,chicago state,74 - 75,W,home,1670788800,https://media-1.api-sports.io/basketball/teams/5879.png
2022-12-13T17:00:00+00:00,ut martin,bethel (tn),75 - 103,W,home,1670950800,https://media-2.api-sports.io/basketball/teams/5879.png
2022-12-17T19:00:00+00:00,ut martin,bowling green,75 - 67,W,away,1671303600,https://media-2.api-sports.io/basketball/teams/5879.png
2022-12-20T00:00:00+00:00,ut martin,crowley's ridge,59 - 120,W,home,1671494400,https://media-3.api-sports.io/basketball/teams/5879.png
2022-12-30T01:30:00+00:00,ut martin,ualr,74 - 88,L,away,1672363800,https://media-1.api-sports.io/basketball/teams/5879.png
2022-12-31T21:30:00+00:00,ut martin,morehead state,57 - 64,W,home,1672522200,https://media-1.api-sports.io/basketball/teams/5879.png
2023-01-06T02:00:00+00:00,ut martin,southeast missouri state,82 - 87,W,home,1672970400,https://media-2.api-sports.io/basketball/teams/5879.png
2023-01-07T21:30:00+00:00,ut martin,tennessee tech,84 - 80,L,home,1673127000,https://media-2.api-sports.io/basketball/teams/5879.png
2023-01-13T02:00:00+00:00,ut martin,tennessee state,,,away,1673575200,https://media-3.api-sports.io/basketball/teams/5879.png
2023-01-15T01:30:00+00:00,ut martin,southern indiana,,,away,1673746200,https://media-2.api-sports.io/basketball/teams/5879.png
2023-01-20T01:00:00+00:00,ut martin,southeast missouri state,,,away,1674176400,https://media-1.api-sports.io/basketball/teams/5879.png
2023-01-21T21:30:00+00:00,ut martin,eastern illinois,,,home,1674336600,https://media-3.api-sports.io/basketball/teams/5879.png
2023-01-27T02:00:00+00:00,ut martin,lindenwood,,,home,1674784800,https://media-3.api-sports.io/basketball/teams/5879.png
2023-01-28T21:30:00+00:00,ut martin,southern indiana,,,home,1674941400,https://media-3.api-sports.io/basketball/teams/5879.png
2023-02-03T00:00:00+00:00,ut martin,siu edwardsville,,,away,1675382400,https://media-1.api-sports.io/basketball/teams/5879.png
2023-02-04T21:30:00+00:00,ut martin,lindenwood,,,away,1675546200,https://media-1.api-sports.io/basketball/teams/5879.png
2023-02-10T01:30:00+00:00,ut martin,eastern illinois,,,away,1675992600,https://media-2.api-sports.io/basketball/teams/5879.png
2023-02-11T21:30:00+00:00,ut martin,ualr,,,home,1676151000,https://media-2.api-sports.io/basketball/teams/5879.png
2023-02-17T02:00:00+00:00,ut martin,siu edwardsville,,,home,1676599200,https://media-2.api-sports.io/basketball/teams/5879.png
2023-02-18T21:00:00+00:00,ut martin,tennessee tech,,,away,1676754000,https://media-1.api-sports.io/basketball/teams/5879.png
2023-02-23T21:00:00+00:00,ut martin,tennessee state,None - None,tie,home,1677186000,https://media-1.api-sports.io/basketball/teams/2176.png
2023-02-25T21:00:00+00:00,ut martin,morehead state,None - None,tie,away,1677358800,https://media-3.api-sports.io/basketball/teams/2176.png
