Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-08T02:00:00+00:00,utep,texas,57 - 72,L,away,1667872800,https://media-1.api-sports.io/basketball/teams/2177.png
2022-11-13T02:00:00+00:00,utep,new mexico state,64 - 67,W,home,1668304800,https://media-3.api-sports.io/basketball/teams/2177.png
2022-11-16T02:00:00+00:00,utep,sul ross state,59 - 99,W,home,1668564000,https://media-1.api-sports.io/basketball/teams/2177.png
2022-11-23T02:00:00+00:00,utep,alcorn state,61 - 73,W,home,1669168800,https://media-3.api-sports.io/basketball/teams/2177.png
2022-11-24T02:00:00+00:00,utep,csu bakersfield,67 - 68,W,home,1669255200,https://media-1.api-sports.io/basketball/teams/2177.png
2022-11-25T21:00:00+00:00,utep,texas a&m-cc,67 - 72,W,home,1669410000,https://media-1.api-sports.io/basketball/teams/2177.png
2022-12-01T02:00:00+00:00,utep,new mexico state,70 - 95,L,away,1669860000,https://media-2.api-sports.io/basketball/teams/2177.png
2022-12-03T21:00:00+00:00,utep,northern new mexico,50 - 87,W,home,1670101200,https://media-1.api-sports.io/basketball/teams/2177.png
2022-12-10T23:30:00+00:00,utep,depaul,70 - 91,L,away,1670715000,https://media-2.api-sports.io/basketball/teams/2177.png
2022-12-18T01:00:00+00:00,utep,louisiana tech,55 - 60,W,home,1671325200,https://media-3.api-sports.io/basketball/teams/2177.png
2022-12-22T02:30:00+00:00,utep,n. carolina a&t,62 - 75,W,home,1671676200,https://media-1.api-sports.io/basketball/teams/2177.png
2022-12-30T00:30:00+00:00,utep,uab,73 - 79,L,away,1672360200,https://media-1.api-sports.io/basketball/teams/2177.png
2022-12-31T21:00:00+00:00,utep,rice,72 - 67,L,home,1672520400,https://media-2.api-sports.io/basketball/teams/2177.png
2023-01-07T20:00:00+00:00,utep,louisiana tech,58 - 60,L,away,1673121600,https://media-3.api-sports.io/basketball/teams/2177.png
2023-01-12T02:00:00+00:00,utep,utsa roadrunners,,,home,1673488800,https://media-2.api-sports.io/basketball/teams/2177.png
2023-01-14T20:00:00+00:00,utep,rice,,,away,1673726400,https://media-3.api-sports.io/basketball/teams/2177.png
2023-01-16T21:00:00+00:00,utep,charlotte,,,away,1673902800,https://media-3.api-sports.io/basketball/teams/2177.png
2023-01-20T02:00:00+00:00,utep,florida international,,,home,1674180000,https://media-2.api-sports.io/basketball/teams/2177.png
2023-01-22T02:00:00+00:00,utep,florida atlantic,,,home,1674352800,https://media-1.api-sports.io/basketball/teams/2177.png
2023-01-28T23:00:00+00:00,utep,north texas,,,away,1674946800,https://media-1.api-sports.io/basketball/teams/2177.png
2023-02-03T02:00:00+00:00,utep,middle tenn. st.,,,away,1675389600,https://media-1.api-sports.io/basketball/teams/2177.png
2023-02-04T21:00:00+00:00,utep,western kentucky,,,away,1675544400,https://media-2.api-sports.io/basketball/teams/2177.png
2023-02-10T02:00:00+00:00,utep,charlotte,,,home,1675994400,https://media-2.api-sports.io/basketball/teams/2177.png
2023-02-11T21:00:00+00:00,utep,utsa roadrunners,,,away,1676149200,https://media-1.api-sports.io/basketball/teams/2177.png
2023-02-17T02:00:00+00:00,utep,uab,,,home,1676599200,https://media-3.api-sports.io/basketball/teams/2177.png
