Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-08T02:00:00+00:00,utrgv,kansas state,59 - 93,L,away,1667872800,https://media-2.api-sports.io/basketball/teams/5880.png
2022-11-13T01:00:00+00:00,utrgv,southwest adventist,33 - 115,W,home,1668301200,https://media-1.api-sports.io/basketball/teams/5880.png
2022-11-15T00:30:00+00:00,utrgv,st. francis (ill),51 - 77,W,home,1668472200,https://media-1.api-sports.io/basketball/teams/5880.png
2022-11-18T01:00:00+00:00,utrgv,texas a&m-cc,75 - 97,L,away,1668733200,https://media-3.api-sports.io/basketball/teams/5880.png
2022-11-21T23:00:00+00:00,utrgv,western illinois,77 - 78,W,home,1669071600,https://media-2.api-sports.io/basketball/teams/5880.png
2022-11-23T00:30:00+00:00,utrgv,northern arizona,79 - 91,W,home,1669163400,https://media-3.api-sports.io/basketball/teams/5880.png
2022-11-26T21:00:00+00:00,utrgv,texas,54 - 91,L,away,1669496400,https://media-2.api-sports.io/basketball/teams/5880.png
2022-12-01T00:30:00+00:00,utrgv,texas a&m-cc,82 - 89,W,home,1669854600,https://media-1.api-sports.io/basketball/teams/5880.png
2022-12-03T20:30:00+00:00,utrgv,western illinois,72 - 90,L,away,1670099400,https://media-1.api-sports.io/basketball/teams/5880.png
2022-12-11T01:00:00+00:00,utrgv,houston christian,95 - 82,W,away,1670720400,https://media-2.api-sports.io/basketball/teams/5880.png
2022-12-16T01:30:00+00:00,utrgv,southwestern christian,80 - 106,W,home,1671154200,https://media-1.api-sports.io/basketball/teams/5880.png
2022-12-19T00:00:00+00:00,utrgv,houston christian,90 - 100,W,home,1671408000,https://media-3.api-sports.io/basketball/teams/5880.png
2022-12-30T02:00:00+00:00,utrgv,utah tech,66 - 81,L,away,1672365600,https://media-2.api-sports.io/basketball/teams/5880.png
2022-12-31T20:00:00+00:00,utrgv,southern utah,88 - 94,L,away,1672516800,https://media-1.api-sports.io/basketball/teams/5880.png
2023-01-06T00:30:00+00:00,utrgv,seattle,66 - 64,L,home,1672965000,https://media-1.api-sports.io/basketball/teams/5880.png
2023-01-08T00:30:00+00:00,utrgv,utah valley state,75 - 61,L,home,1673137800,https://media-1.api-sports.io/basketball/teams/5880.png
2023-01-12T00:30:00+00:00,utrgv,abilene christian,86 - 103,W,home,1673483400,https://media-3.api-sports.io/basketball/teams/5880.png
2023-01-15T00:30:00+00:00,utrgv,chicago state,,,home,1673742600,https://media-2.api-sports.io/basketball/teams/5880.png
2023-01-20T01:00:00+00:00,utrgv,ut arlington,,,away,1674176400,https://media-2.api-sports.io/basketball/teams/5880.png
2023-01-21T22:30:00+00:00,utrgv,sam houston st.,,,away,1674340200,https://media-3.api-sports.io/basketball/teams/5880.png
2023-01-26T00:30:00+00:00,utrgv,stephen f. austin,,,away,1674693000,https://media-3.api-sports.io/basketball/teams/5880.png
2023-01-29T00:30:00+00:00,utrgv,california baptist,,,home,1674952200,https://media-2.api-sports.io/basketball/teams/5880.png
2023-02-02T00:30:00+00:00,utrgv,sam houston st.,,,home,1675297800,https://media-3.api-sports.io/basketball/teams/5880.png
2023-02-04T22:00:00+00:00,utrgv,tarleton,,,away,1675548000,https://media-2.api-sports.io/basketball/teams/5880.png
2023-02-10T00:30:00+00:00,utrgv,ut arlington,,,home,1675989000,https://media-1.api-sports.io/basketball/teams/5880.png
2023-02-12T00:30:00+00:00,utrgv,stephen f. austin,,,home,1676161800,https://media-2.api-sports.io/basketball/teams/5880.png
2023-02-16T02:00:00+00:00,utrgv,grand canyon,,,away,1676512800,https://media-3.api-sports.io/basketball/teams/5880.png
