Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-07T23:30:00+00:00,villanova,la salle,68 - 81,W,home,1667863800,https://media-2.api-sports.io/basketball/teams/2188.png
2022-11-12T00:00:00+00:00,villanova,temple,64 - 68,L,away,1668211200,https://media-1.api-sports.io/basketball/teams/2188.png
2022-11-14T23:30:00+00:00,villanova,delaware state,50 - 60,W,home,1668468600,https://media-1.api-sports.io/basketball/teams/2188.png
2022-11-19T01:00:00+00:00,villanova,michigan state,71 - 73,L,away,1668819600,https://media-1.api-sports.io/basketball/teams/2188.png
2022-11-24T20:30:00+00:00,villanova,iowa state,81 - 79,L,home,1669321800,https://media-2.api-sports.io/basketball/teams/2188.png
2022-11-25T20:00:00+00:00,villanova,portland,83 - 71,L,home,1669406400,https://media-2.api-sports.io/basketball/teams/2188.png
2022-11-27T20:00:00+00:00,villanova,oregon,67 - 74,L,away,1669579200,https://media-2.api-sports.io/basketball/teams/2188.png
2022-12-03T17:30:00+00:00,villanova,oklahoma,66 - 70,W,home,1670088600,https://media-2.api-sports.io/basketball/teams/2188.png
2022-12-08T00:00:00+00:00,villanova,penn,59 - 70,W,home,1670457600,https://media-3.api-sports.io/basketball/teams/2188.png
2022-12-10T22:00:00+00:00,villanova,boston college,77 - 56,W,away,1670709600,https://media-2.api-sports.io/basketball/teams/2188.png
2022-12-17T21:00:00+00:00,villanova,saint josephs,71 - 64,W,away,1671310800,https://media-1.api-sports.io/basketball/teams/2188.png
2022-12-21T23:30:00+00:00,villanova,st. john's (n.y.),63 - 78,W,home,1671665400,https://media-2.api-sports.io/basketball/teams/2188.png
2022-12-28T23:30:00+00:00,villanova,uconn,66 - 74,L,away,1672270200,https://media-1.api-sports.io/basketball/teams/2188.png
2022-12-31T19:00:00+00:00,villanova,marquette,68 - 66,L,home,1672513200,https://media-2.api-sports.io/basketball/teams/2188.png
2023-01-04T23:30:00+00:00,villanova,georgetown,73 - 57,W,away,1672875000,https://media-2.api-sports.io/basketball/teams/2188.png
2023-01-07T21:30:00+00:00,villanova,xavier,88 - 80,L,home,1673127000,https://media-3.api-sports.io/basketball/teams/2188.png
2023-01-11T02:00:00+00:00,villanova,depaul,,,away,1673402400,https://media-2.api-sports.io/basketball/teams/2188.png
2023-01-14T00:00:00+00:00,villanova,butler,,,away,1673654400,https://media-2.api-sports.io/basketball/teams/2188.png
2023-01-16T17:00:00+00:00,villanova,georgetown,,,home,1673888400,https://media-2.api-sports.io/basketball/teams/2188.png
2023-01-21T00:00:00+00:00,villanova,st. john's (n.y.),,,away,1674259200,https://media-2.api-sports.io/basketball/teams/2188.png
2023-01-29T17:00:00+00:00,villanova,providence,,,home,1675011600,https://media-1.api-sports.io/basketball/teams/2188.png
2023-02-02T01:30:00+00:00,villanova,marquette,,,away,1675301400,https://media-2.api-sports.io/basketball/teams/2188.png
2023-02-05T00:30:00+00:00,villanova,creighton,,,away,1675557000,https://media-2.api-sports.io/basketball/teams/2188.png
2023-02-09T01:30:00+00:00,villanova,depaul,,,home,1675906200,https://media-3.api-sports.io/basketball/teams/2188.png
2023-02-12T01:00:00+00:00,villanova,seton hall,,,home,1676163600,https://media-2.api-sports.io/basketball/teams/2188.png
2023-02-15T01:00:00+00:00,villanova,butler,,,home,1676422800,https://media-3.api-sports.io/basketball/teams/2188.png
2023-02-18T21:30:00+00:00,villanova,providence,,,away,1676755800,https://media-3.api-sports.io/basketball/teams/2188.png
