Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-08T02:00:00+00:00,virginia tech,delaware state,57 - 95,W,home,1667872800,https://media-2.api-sports.io/basketball/teams/2190.png
2022-11-10T23:00:00+00:00,virginia tech,lehigh,52 - 78,W,home,1668121200,https://media-1.api-sports.io/basketball/teams/2190.png
2022-11-13T23:00:00+00:00,virginia tech,william & mary,77 - 94,W,home,1668380400,https://media-1.api-sports.io/basketball/teams/2190.png
2022-11-17T19:00:00+00:00,virginia tech,old dominion,71 - 75,W,home,1668711600,https://media-1.api-sports.io/basketball/teams/2190.png
2022-11-18T17:00:00+00:00,virginia tech,penn state,59 - 61,W,home,1668790800,https://media-1.api-sports.io/basketball/teams/2190.png
2022-11-20T20:30:00+00:00,virginia tech,charleston,75 - 77,L,away,1668976200,https://media-3.api-sports.io/basketball/teams/2190.png
2022-11-26T01:00:00+00:00,virginia tech,charleston southern,64 - 69,W,home,1669424400,https://media-1.api-sports.io/basketball/teams/2190.png
2022-11-29T00:00:00+00:00,virginia tech,minnesota,57 - 67,W,home,1669680000,https://media-1.api-sports.io/basketball/teams/2190.png
2022-12-04T20:00:00+00:00,virginia tech,north carolina,72 - 80,W,home,1670184000,https://media-3.api-sports.io/basketball/teams/2190.png
2022-12-08T01:00:00+00:00,virginia tech,dayton,49 - 77,W,home,1670461200,https://media-3.api-sports.io/basketball/teams/2190.png
2022-12-11T19:00:00+00:00,virginia tech,oklahoma state,65 - 70,W,home,1670785200,https://media-2.api-sports.io/basketball/teams/2190.png
2022-12-17T21:00:00+00:00,virginia tech,grambling st.,48 - 74,W,home,1671310800,https://media-3.api-sports.io/basketball/teams/2190.png
2022-12-21T23:30:00+00:00,virginia tech,boston college,65 - 70,L,away,1671665400,https://media-3.api-sports.io/basketball/teams/2190.png
2022-12-31T17:00:00+00:00,virginia tech,wake forest,75 - 77,L,away,1672506000,https://media-2.api-sports.io/basketball/teams/2190.png
2023-01-05T02:00:00+00:00,virginia tech,clemson,68 - 65,L,home,1672884000,https://media-3.api-sports.io/basketball/teams/2190.png
2023-01-08T00:30:00+00:00,virginia tech,nc state,73 - 69,L,home,1673137800,https://media-1.api-sports.io/basketball/teams/2190.png
2023-01-12T00:00:00+00:00,virginia tech,syracuse,72 - 82,L,away,1673481600,https://media-2.api-sports.io/basketball/teams/2190.png
2023-01-19T00:00:00+00:00,virginia tech,virginia,,,away,1674086400,https://media-1.api-sports.io/basketball/teams/2190.png
2023-01-21T23:00:00+00:00,virginia tech,clemson,,,away,1674342000,https://media-2.api-sports.io/basketball/teams/2190.png
2023-01-24T00:00:00+00:00,virginia tech,duke,,,home,1674518400,https://media-1.api-sports.io/basketball/teams/2190.png
2023-01-29T00:00:00+00:00,virginia tech,syracuse,,,home,1674950400,https://media-3.api-sports.io/basketball/teams/2190.png
2023-02-01T00:00:00+00:00,virginia tech,miami (fl),,,away,1675209600,https://media-3.api-sports.io/basketball/teams/2190.png
2023-02-04T17:00:00+00:00,virginia tech,virginia,,,home,1675530000,https://media-3.api-sports.io/basketball/teams/2190.png
2023-02-09T00:00:00+00:00,virginia tech,boston college,,,home,1675900800,https://media-2.api-sports.io/basketball/teams/2190.png
2023-02-11T19:00:00+00:00,virginia tech,notre dame,,,away,1676142000,https://media-1.api-sports.io/basketball/teams/2190.png
2023-02-16T00:00:00+00:00,virginia tech,georgia tech,,,away,1676505600,https://media-1.api-sports.io/basketball/teams/2190.png
2023-02-18T22:00:00+00:00,virginia tech,pittsburgh,,,home,1676757600,https://media-1.api-sports.io/basketball/teams/2190.png
