Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-08T00:00:00+00:00,vmi,richmond,48 - 69,L,away,1667865600,https://media-3.api-sports.io/basketball/teams/5889.png
2022-11-11T00:00:00+00:00,vmi,penn state-new kensington,58 - 100,W,home,1668124800,https://media-2.api-sports.io/basketball/teams/5889.png
2022-11-13T19:00:00+00:00,vmi,davidson,71 - 75,L,away,1668366000,https://media-1.api-sports.io/basketball/teams/5889.png
2022-11-18T22:00:00+00:00,vmi,longwood,58 - 90,L,away,1668808800,https://media-2.api-sports.io/basketball/teams/5889.png
2022-11-20T00:00:00+00:00,vmi,siu edwardsville,67 - 93,L,away,1668902400,https://media-1.api-sports.io/basketball/teams/5889.png
2022-11-20T21:30:00+00:00,vmi,fairleigh dickinson,89 - 93,L,away,1668979800,https://media-2.api-sports.io/basketball/teams/5889.png
2022-11-26T18:00:00+00:00,vmi,regent university,58 - 108,W,home,1669485600,https://media-3.api-sports.io/basketball/teams/5889.png
2022-11-30T00:00:00+00:00,vmi,presbyterian,57 - 72,L,away,1669766400,https://media-1.api-sports.io/basketball/teams/5889.png
2022-12-03T18:00:00+00:00,vmi,navy,72 - 80,W,home,1670090400,https://media-1.api-sports.io/basketball/teams/5889.png
2022-12-08T00:00:00+00:00,vmi,carlow university,67 - 106,W,home,1670457600,https://media-1.api-sports.io/basketball/teams/5889.png
2022-12-10T18:00:00+00:00,vmi,radford,74 - 77,W,home,1670695200,https://media-3.api-sports.io/basketball/teams/5889.png
2022-12-13T23:00:00+00:00,vmi,american university,61 - 69,L,away,1670972400,https://media-1.api-sports.io/basketball/teams/5889.png
2022-12-22T17:00:00+00:00,vmi,fordham,77 - 80,L,away,1671728400,https://media-1.api-sports.io/basketball/teams/5889.png
2022-12-30T00:00:00+00:00,vmi,furman,62 - 85,L,away,1672358400,https://media-2.api-sports.io/basketball/teams/5889.png
2022-12-31T18:00:00+00:00,vmi,east tennessee st,64 - 50,L,home,1672509600,https://media-1.api-sports.io/basketball/teams/5889.png
2023-01-05T00:30:00+00:00,vmi,samford,78 - 87,L,away,1672878600,https://media-1.api-sports.io/basketball/teams/5889.png
2023-01-07T19:00:00+00:00,vmi,chattanooga mocs,78 - 85,L,away,1673118000,https://media-3.api-sports.io/basketball/teams/5889.png
2023-01-12T00:00:00+00:00,vmi,nc greensboro,72 - 57,L,home,1673481600,https://media-2.api-sports.io/basketball/teams/5889.png
2023-01-15T00:00:00+00:00,vmi,wofford,,,away,1673740800,https://media-2.api-sports.io/basketball/teams/5889.png
2023-01-20T00:00:00+00:00,vmi,mercer,,,home,1674172800,https://media-2.api-sports.io/basketball/teams/5889.png
2023-01-21T18:00:00+00:00,vmi,citadel,,,home,1674324000,https://media-3.api-sports.io/basketball/teams/5889.png
2023-01-26T00:00:00+00:00,vmi,nc greensboro,,,away,1674691200,https://media-3.api-sports.io/basketball/teams/5889.png
2023-01-28T18:00:00+00:00,vmi,western carolina,,,home,1674928800,https://media-3.api-sports.io/basketball/teams/5889.png
2023-02-03T00:00:00+00:00,vmi,citadel,,,away,1675382400,https://media-2.api-sports.io/basketball/teams/5889.png
2023-02-04T19:00:00+00:00,vmi,mercer,,,away,1675537200,https://media-3.api-sports.io/basketball/teams/5889.png
2023-02-09T00:00:00+00:00,vmi,furman,,,home,1675900800,https://media-2.api-sports.io/basketball/teams/5889.png
2023-02-11T00:00:00+00:00,vmi,east tennessee st,,,away,1676073600,https://media-3.api-sports.io/basketball/teams/5889.png
2023-02-16T00:00:00+00:00,vmi,chattanooga mocs,,,home,1676505600,https://media-3.api-sports.io/basketball/teams/5889.png
2023-02-18T18:00:00+00:00,vmi,samford,,,home,1676743200,https://media-3.api-sports.io/basketball/teams/5889.png
