Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-08T00:30:00+00:00,washington state,texas state,61 - 83,W,home,1667867400,https://media-3.api-sports.io/basketball/teams/2195.png
2022-11-13T00:00:00+00:00,washington state,boise state,61 - 71,L,away,1668297600,https://media-1.api-sports.io/basketball/teams/2195.png
2022-11-16T00:00:00+00:00,washington state,prairie view a&m,59 - 70,L,away,1668556800,https://media-2.api-sports.io/basketball/teams/2195.png
2022-11-22T02:00:00+00:00,washington state,east. washington,82 - 56,W,away,1669082400,https://media-2.api-sports.io/basketball/teams/2195.png
2022-11-25T21:00:00+00:00,washington state,detroit,54 - 96,W,home,1669410000,https://media-2.api-sports.io/basketball/teams/2195.png
2022-12-02T03:30:00+00:00,washington state,oregon,60 - 74,L,away,1669951800,https://media-1.api-sports.io/basketball/teams/2195.png
2022-12-04T21:00:00+00:00,washington state,utah utes,67 - 65,L,home,1670187600,https://media-2.api-sports.io/basketball/teams/2195.png
2022-12-08T02:00:00+00:00,washington state,northern kentucky,47 - 68,W,home,1670464800,https://media-2.api-sports.io/basketball/teams/2195.png
2022-12-10T21:30:00+00:00,washington state,unlv,74 - 70,L,home,1670707800,https://media-2.api-sports.io/basketball/teams/2195.png
2022-12-19T03:00:00+00:00,washington state,baylor,59 - 65,L,away,1671418800,https://media-2.api-sports.io/basketball/teams/2195.png
2022-12-23T02:00:00+00:00,washington state,george washington,64 - 66,W,home,1671760800,https://media-2.api-sports.io/basketball/teams/2195.png
2022-12-24T04:59:00+00:00,washington state,hawaii,51 - 62,L,away,1671857940,https://media-1.api-sports.io/basketball/teams/2195.png
2022-12-25T23:30:00+00:00,washington state,utah state,82 - 73,L,home,1672011000,https://media-1.api-sports.io/basketball/teams/2195.png
2022-12-31T04:00:00+00:00,washington state,ucla,67 - 66,L,home,1672459200,https://media-3.api-sports.io/basketball/teams/2195.png
2023-01-01T20:00:00+00:00,washington state,usc,71 - 81,W,home,1672603200,https://media-3.api-sports.io/basketball/teams/2195.png
2023-01-06T01:00:00+00:00,washington state,arizona state,71 - 77,L,away,1672966800,https://media-2.api-sports.io/basketball/teams/2195.png
2023-01-07T22:00:00+00:00,washington state,arizona,74 - 61,W,away,1673128800,https://media-3.api-sports.io/basketball/teams/2195.png
2023-01-12T04:00:00+00:00,washington state,california,51 - 66,W,home,1673496000,https://media-1.api-sports.io/basketball/teams/2195.png
2023-01-15T01:00:00+00:00,washington state,stanford,,,home,1673744400,https://media-3.api-sports.io/basketball/teams/2195.png
2023-01-20T02:00:00+00:00,washington state,utah utes,,,away,1674180000,https://media-1.api-sports.io/basketball/teams/2195.png
2023-01-22T23:00:00+00:00,washington state,colorado,,,away,1674428400,https://media-2.api-sports.io/basketball/teams/2195.png
2023-01-27T04:00:00+00:00,washington state,arizona,,,home,1674792000,https://media-2.api-sports.io/basketball/teams/2195.png
2023-01-29T01:00:00+00:00,washington state,arizona state,,,home,1674954000,https://media-1.api-sports.io/basketball/teams/2195.png
2023-02-03T04:00:00+00:00,washington state,usc,,,away,1675396800,https://media-1.api-sports.io/basketball/teams/2195.png
2023-02-05T00:00:00+00:00,washington state,ucla,,,away,1675555200,https://media-2.api-sports.io/basketball/teams/2195.png
2023-02-12T03:30:00+00:00,washington state,washington,,,home,1676172600,https://media-3.api-sports.io/basketball/teams/2195.png
2023-02-17T04:00:00+00:00,washington state,oregon state,,,home,1676606400,https://media-1.api-sports.io/basketball/teams/2195.png
