Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-08T00:00:00+00:00,west virginia,mount st. mary's,59 - 76,W,home,1667865600,https://media-2.api-sports.io/basketball/teams/223.png
2022-11-12T00:00:00+00:00,west virginia,pittsburgh,81 - 56,W,away,1668211200,https://media-3.api-sports.io/basketball/teams/223.png
2022-11-16T00:00:00+00:00,west virginia,morehead state,57 - 75,W,home,1668556800,https://media-3.api-sports.io/basketball/teams/223.png
2022-11-19T00:00:00+00:00,west virginia,penn,58 - 92,W,home,1668816000,https://media-3.api-sports.io/basketball/teams/223.png
2022-11-25T03:00:00+00:00,west virginia,purdue,80 - 68,L,home,1669345200,https://media-3.api-sports.io/basketball/teams/223.png
2022-11-26T02:00:00+00:00,west virginia,portland state,89 - 71,W,away,1669428000,https://media-1.api-sports.io/basketball/teams/223.png
2022-11-28T01:30:00+00:00,west virginia,florida,55 - 84,W,home,1669599000,https://media-1.api-sports.io/basketball/teams/223.png
2022-12-03T23:30:00+00:00,west virginia,xavier,74 - 84,L,away,1670110200,https://media-3.api-sports.io/basketball/teams/223.png
2022-12-08T00:00:00+00:00,west virginia,navy,64 - 85,W,home,1670457600,https://media-3.api-sports.io/basketball/teams/223.png
2022-12-10T23:00:00+00:00,west virginia,uab,70 - 81,W,home,1670713200,https://media-1.api-sports.io/basketball/teams/223.png
2022-12-18T22:00:00+00:00,west virginia,buffalo,78 - 96,W,home,1671400800,https://media-3.api-sports.io/basketball/teams/223.png
2022-12-22T23:00:00+00:00,west virginia,stony brook,64 - 75,W,home,1671750000,https://media-3.api-sports.io/basketball/teams/223.png
2023-01-01T00:00:00+00:00,west virginia,kansas state,76 - 82,L,away,1672531200,https://media-1.api-sports.io/basketball/teams/223.png
2023-01-03T00:00:00+00:00,west virginia,oklahoma state,60 - 67,L,away,1672704000,https://media-1.api-sports.io/basketball/teams/223.png
2023-01-07T23:00:00+00:00,west virginia,kansas,76 - 62,L,home,1673132400,https://media-1.api-sports.io/basketball/teams/223.png
2023-01-12T00:00:00+00:00,west virginia,baylor,,,home,1673481600,https://media-1.api-sports.io/basketball/teams/223.png
2023-01-14T17:00:00+00:00,west virginia,oklahoma,,,away,1673715600,https://media-2.api-sports.io/basketball/teams/223.png
2023-01-19T00:00:00+00:00,west virginia,tcu,,,home,1674086400,https://media-3.api-sports.io/basketball/teams/223.png
2023-01-21T23:00:00+00:00,west virginia,texas,,,home,1674342000,https://media-1.api-sports.io/basketball/teams/223.png
2023-01-26T00:00:00+00:00,west virginia,texas tech,,,away,1674691200,https://media-1.api-sports.io/basketball/teams/223.png
2023-01-28T17:00:00+00:00,west virginia,auburn,,,home,1674925200,https://media-2.api-sports.io/basketball/teams/223.png
2023-02-01T02:00:00+00:00,west virginia,tcu,,,away,1675216800,https://media-3.api-sports.io/basketball/teams/223.png
2023-02-05T01:00:00+00:00,west virginia,oklahoma,,,home,1675558800,https://media-2.api-sports.io/basketball/teams/223.png
2023-02-09T00:00:00+00:00,west virginia,iowa state,,,home,1675900800,https://media-2.api-sports.io/basketball/teams/223.png
2023-02-11T17:00:00+00:00,west virginia,texas,,,away,1676134800,https://media-2.api-sports.io/basketball/teams/223.png
2023-02-14T02:00:00+00:00,west virginia,baylor,,,away,1676340000,https://media-3.api-sports.io/basketball/teams/223.png
2023-02-18T17:00:00+00:00,west virginia,texas tech,,,home,1676739600,https://media-1.api-sports.io/basketball/teams/223.png
