Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-08T00:30:00+00:00,william & mary,navy,74 - 59,L,home,1667867400,https://media-3.api-sports.io/basketball/teams/2209.png
2022-11-11T00:00:00+00:00,william & mary,mid-atlantic,40 - 116,W,home,1668124800,https://media-1.api-sports.io/basketball/teams/2209.png
2022-11-13T23:00:00+00:00,william & mary,virginia tech,77 - 94,L,away,1668380400,https://media-3.api-sports.io/basketball/teams/2209.png
2022-11-17T00:00:00+00:00,william & mary,american university,64 - 71,L,away,1668643200,https://media-1.api-sports.io/basketball/teams/2209.png
2022-11-19T21:00:00+00:00,william & mary,army,67 - 76,W,home,1668891600,https://media-2.api-sports.io/basketball/teams/2209.png
2022-11-23T19:00:00+00:00,william & mary,radford,51 - 62,W,home,1669230000,https://media-3.api-sports.io/basketball/teams/2209.png
2022-11-26T00:00:00+00:00,william & mary,pittsburgh,64 - 80,L,away,1669420800,https://media-2.api-sports.io/basketball/teams/2209.png
2022-11-30T00:00:00+00:00,william & mary,nc state,64 - 85,L,away,1669766400,https://media-3.api-sports.io/basketball/teams/2209.png
2022-12-04T00:00:00+00:00,william & mary,richmond,57 - 58,W,home,1670112000,https://media-1.api-sports.io/basketball/teams/2209.png
2022-12-08T00:00:00+00:00,william & mary,old dominion,62 - 72,L,away,1670457600,https://media-1.api-sports.io/basketball/teams/2209.png
2022-12-10T21:00:00+00:00,william & mary,norfolk state,67 - 53,L,home,1670706000,https://media-2.api-sports.io/basketball/teams/2209.png
2022-12-18T18:00:00+00:00,william & mary,umbc retrievers,62 - 78,L,away,1671386400,https://media-1.api-sports.io/basketball/teams/2209.png
2022-12-21T19:00:00+00:00,william & mary,randolph,56 - 90,W,home,1671649200,https://media-3.api-sports.io/basketball/teams/2209.png
2022-12-31T19:00:00+00:00,william & mary,drexel,56 - 66,L,away,1672513200,https://media-3.api-sports.io/basketball/teams/2209.png
2023-01-06T00:00:00+00:00,william & mary,northeastern,66 - 69,W,home,1672963200,https://media-2.api-sports.io/basketball/teams/2209.png
2023-01-07T19:00:00+00:00,william & mary,hofstra,75 - 62,L,home,1673118000,https://media-3.api-sports.io/basketball/teams/2209.png
2023-01-12T00:00:00+00:00,william & mary,hampton,,,home,1673481600,https://media-1.api-sports.io/basketball/teams/2209.png
2023-01-14T22:00:00+00:00,william & mary,nc wilmington,,,away,1673733600,https://media-3.api-sports.io/basketball/teams/2209.png
2023-01-16T22:00:00+00:00,william & mary,charleston,,,away,1673906400,https://media-2.api-sports.io/basketball/teams/2209.png
2023-01-20T00:00:00+00:00,william & mary,delaware,,,away,1674172800,https://media-2.api-sports.io/basketball/teams/2209.png
2023-01-21T19:00:00+00:00,william & mary,n. carolina a&t,,,home,1674327600,https://media-3.api-sports.io/basketball/teams/2209.png
2023-01-27T00:00:00+00:00,william & mary,stony brook,,,home,1674777600,https://media-2.api-sports.io/basketball/teams/2209.png
2023-01-28T21:00:00+00:00,william & mary,towson,,,away,1674939600,https://media-2.api-sports.io/basketball/teams/2209.png
2023-02-03T00:00:00+00:00,william & mary,hampton,,,away,1675382400,https://media-2.api-sports.io/basketball/teams/2209.png
2023-02-04T19:00:00+00:00,william & mary,nc wilmington,,,home,1675537200,https://media-3.api-sports.io/basketball/teams/2209.png
2023-02-11T19:00:00+00:00,william & mary,elon,,,away,1676142000,https://media-1.api-sports.io/basketball/teams/2209.png
2023-02-14T00:00:00+00:00,william & mary,towson,,,home,1676332800,https://media-1.api-sports.io/basketball/teams/2209.png
2023-02-17T00:00:00+00:00,william & mary,stony brook,,,away,1676592000,https://media-1.api-sports.io/basketball/teams/2209.png
2023-02-18T17:00:00+00:00,william & mary,northeastern,,,away,1676739600,https://media-2.api-sports.io/basketball/teams/2209.png
2023-02-23T21:00:00+00:00,william & mary,elon,None - None,tie,home,1677186000,https://media-1.api-sports.io/basketball/teams/2209.png
2023-02-25T21:00:00+00:00,william & mary,monmouth,None - None,tie,home,1677358800,https://media-2.api-sports.io/basketball/teams/2209.png
