Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-08T00:00:00+00:00,winthrop,penn state,68 - 93,L,away,1667865600,https://media-1.api-sports.io/basketball/teams/2212.png
2022-11-10T00:00:00+00:00,winthrop,piedmont,56 - 78,W,home,1668038400,https://media-2.api-sports.io/basketball/teams/2212.png
2022-11-12T21:00:00+00:00,winthrop,middle tenn. st.,68 - 76,W,home,1668286800,https://media-1.api-sports.io/basketball/teams/2212.png
2022-11-16T00:00:00+00:00,winthrop,auburn,65 - 89,L,away,1668556800,https://media-1.api-sports.io/basketball/teams/2212.png
2022-11-19T19:00:00+00:00,winthrop,mercer,68 - 77,L,away,1668884400,https://media-1.api-sports.io/basketball/teams/2212.png
2022-11-22T20:00:00+00:00,winthrop,southern miss,77 - 52,L,home,1669147200,https://media-2.api-sports.io/basketball/teams/2212.png
2022-11-23T17:30:00+00:00,winthrop,eastern michigan,87 - 101,W,home,1669224600,https://media-3.api-sports.io/basketball/teams/2212.png
2022-11-30T00:00:00+00:00,winthrop,toccoa falls,52 - 99,W,home,1669766400,https://media-1.api-sports.io/basketball/teams/2212.png
2022-12-03T19:00:00+00:00,winthrop,coastal carolina,86 - 81,L,home,1670094000,https://media-1.api-sports.io/basketball/teams/2212.png
2022-12-07T00:00:00+00:00,winthrop,south carolina st,67 - 81,W,home,1670371200,https://media-3.api-sports.io/basketball/teams/2212.png
2022-12-10T21:00:00+00:00,winthrop,furman,67 - 82,L,away,1670706000,https://media-2.api-sports.io/basketball/teams/2212.png
2022-12-18T00:00:00+00:00,winthrop,lsu,81 - 89,L,away,1671321600,https://media-1.api-sports.io/basketball/teams/2212.png
2022-12-21T19:00:00+00:00,winthrop,duquesne,57 - 74,L,away,1671649200,https://media-1.api-sports.io/basketball/teams/2212.png
2022-12-29T22:00:00+00:00,winthrop,usc upstate,62 - 70,L,away,1672351200,https://media-1.api-sports.io/basketball/teams/2212.png
2022-12-31T19:00:00+00:00,winthrop,unc asheville,60 - 62,W,home,1672513200,https://media-1.api-sports.io/basketball/teams/2212.png
2023-01-05T00:00:00+00:00,winthrop,presbyterian,72 - 82,W,home,1672876800,https://media-3.api-sports.io/basketball/teams/2212.png
2023-01-07T21:00:00+00:00,winthrop,longwood,71 - 85,L,away,1673125200,https://media-2.api-sports.io/basketball/teams/2212.png
2023-01-12T00:00:00+00:00,winthrop,radford,,,home,1673481600,https://media-1.api-sports.io/basketball/teams/2212.png
2023-01-14T19:00:00+00:00,winthrop,campbell,,,away,1673722800,https://media-3.api-sports.io/basketball/teams/2212.png
2023-01-19T00:00:00+00:00,winthrop,high point,,,away,1674086400,https://media-2.api-sports.io/basketball/teams/2212.png
2023-01-21T19:00:00+00:00,winthrop,gardner webb,,,home,1674327600,https://media-3.api-sports.io/basketball/teams/2212.png
2023-01-26T00:00:00+00:00,winthrop,charleston southern,,,home,1674691200,https://media-1.api-sports.io/basketball/teams/2212.png
2023-01-28T19:00:00+00:00,winthrop,presbyterian,,,away,1674932400,https://media-2.api-sports.io/basketball/teams/2212.png
2023-02-02T00:00:00+00:00,winthrop,longwood,,,home,1675296000,https://media-1.api-sports.io/basketball/teams/2212.png
2023-02-04T19:00:00+00:00,winthrop,radford,,,away,1675537200,https://media-3.api-sports.io/basketball/teams/2212.png
2023-02-08T23:30:00+00:00,winthrop,unc asheville,,,away,1675899000,https://media-2.api-sports.io/basketball/teams/2212.png
2023-02-11T22:00:00+00:00,winthrop,usc upstate,,,home,1676152800,https://media-2.api-sports.io/basketball/teams/2212.png
2023-02-16T00:00:00+00:00,winthrop,gardner webb,,,away,1676505600,https://media-2.api-sports.io/basketball/teams/2212.png
2023-02-18T22:30:00+00:00,winthrop,charleston southern,,,away,1676759400,https://media-1.api-sports.io/basketball/teams/2212.png
