Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-08T00:00:00+00:00,wisc. green bay,indiana state,53 - 80,L,away,1667865600,https://media-2.api-sports.io/basketball/teams/5902.png
2022-11-12T16:00:00+00:00,wisc. green bay,georgetown,58 - 92,L,away,1668268800,https://media-1.api-sports.io/basketball/teams/5902.png
2022-11-16T02:00:00+00:00,wisc. green bay,wisconsin,45 - 56,L,away,1668564000,https://media-2.api-sports.io/basketball/teams/5902.png
2022-11-18T16:30:00+00:00,wisc. green bay,queens royals,65 - 81,L,away,1668789000,https://media-1.api-sports.io/basketball/teams/5902.png
2022-11-21T00:30:00+00:00,wisc. green bay,utah valley state,56 - 79,L,away,1668990600,https://media-2.api-sports.io/basketball/teams/5902.png
2022-11-27T00:00:00+00:00,wisc. green bay,illinois (chi.),78 - 64,L,home,1669507200,https://media-1.api-sports.io/basketball/teams/5902.png
2022-12-02T01:00:00+00:00,wisc. green bay,wisc. milwaukee,81 - 67,L,home,1669942800,https://media-3.api-sports.io/basketball/teams/5902.png
2022-12-05T17:00:00+00:00,wisc. green bay,iupui,61 - 68,W,home,1670259600,https://media-3.api-sports.io/basketball/teams/5902.png
2022-12-07T01:00:00+00:00,wisc. green bay,loyola chicago,46 - 70,L,away,1670374800,https://media-1.api-sports.io/basketball/teams/5902.png
2022-12-11T01:00:00+00:00,wisc. green bay,umkc,64 - 70,W,home,1670720400,https://media-2.api-sports.io/basketball/teams/5902.png
2022-12-14T01:00:00+00:00,wisc. green bay,st. thomas (minn.),61 - 82,L,away,1670979600,https://media-3.api-sports.io/basketball/teams/5902.png
2022-12-17T01:00:00+00:00,wisc. green bay,stanford,40 - 85,L,away,1671238800,https://media-3.api-sports.io/basketball/teams/5902.png
2022-12-18T20:00:00+00:00,wisc. green bay,oregon state,56 - 65,L,away,1671393600,https://media-1.api-sports.io/basketball/teams/5902.png
2022-12-30T00:00:00+00:00,wisc. green bay,detroit,59 - 76,L,away,1672358400,https://media-2.api-sports.io/basketball/teams/5902.png
2022-12-31T18:00:00+00:00,wisc. green bay,oakland,65 - 81,L,away,1672509600,https://media-2.api-sports.io/basketball/teams/5902.png
2023-01-06T00:00:00+00:00,wisc. green bay,ipfw,69 - 79,L,away,1672963200,https://media-1.api-sports.io/basketball/teams/5902.png
2023-01-07T20:00:00+00:00,wisc. green bay,cleveland state,77 - 82,L,away,1673121600,https://media-1.api-sports.io/basketball/teams/5902.png
2023-01-13T01:00:00+00:00,wisc. green bay,wright state,,,home,1673571600,https://media-3.api-sports.io/basketball/teams/5902.png
2023-01-15T00:00:00+00:00,wisc. green bay,northern kentucky,,,home,1673740800,https://media-1.api-sports.io/basketball/teams/5902.png
2023-01-20T01:00:00+00:00,wisc. green bay,youngstown state,,,home,1674176400,https://media-2.api-sports.io/basketball/teams/5902.png
2023-01-22T00:00:00+00:00,wisc. green bay,robert morris,,,home,1674345600,https://media-1.api-sports.io/basketball/teams/5902.png
2023-01-27T00:00:00+00:00,wisc. green bay,northern kentucky,,,away,1674777600,https://media-2.api-sports.io/basketball/teams/5902.png
2023-01-29T00:00:00+00:00,wisc. green bay,wright state,,,away,1674950400,https://media-1.api-sports.io/basketball/teams/5902.png
2023-02-04T17:00:00+00:00,wisc. green bay,iupui,,,away,1675530000,https://media-1.api-sports.io/basketball/teams/5902.png
2023-02-07T01:00:00+00:00,wisc. green bay,wisc. milwaukee,,,away,1675731600,https://media-1.api-sports.io/basketball/teams/5902.png
2023-02-10T01:00:00+00:00,wisc. green bay,oakland,,,home,1675990800,https://media-3.api-sports.io/basketball/teams/5902.png
2023-02-12T00:00:00+00:00,wisc. green bay,detroit,,,home,1676160000,https://media-3.api-sports.io/basketball/teams/5902.png
2023-02-17T00:00:00+00:00,wisc. green bay,robert morris,,,away,1676592000,https://media-1.api-sports.io/basketball/teams/5902.png
2023-02-18T19:00:00+00:00,wisc. green bay,youngstown state,,,away,1676746800,https://media-1.api-sports.io/basketball/teams/5902.png
2023-02-23T21:00:00+00:00,wisc. green bay,cleveland state,None - None,tie,home,1677186000,https://media-1.api-sports.io/basketball/teams/249.png
2023-02-25T21:00:00+00:00,wisc. green bay,ipfw,None - None,tie,home,1677358800,https://media-2.api-sports.io/basketball/teams/249.png
