Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-11-08T01:30:00+00:00,wisconsin,south dakota coyotes,59 - 85,W,home,1667871000,https://media-3.api-sports.io/basketball/teams/2214.png
2022-11-12T00:30:00+00:00,wisconsin,stanford,50 - 60,W,home,1668213000,https://media-3.api-sports.io/basketball/teams/2214.png
2022-11-16T02:00:00+00:00,wisconsin,wisc. green bay,45 - 56,W,home,1668564000,https://media-3.api-sports.io/basketball/teams/2214.png
2022-11-23T19:30:00+00:00,wisconsin,dayton,42 - 43,W,home,1669231800,https://media-3.api-sports.io/basketball/teams/2214.png
2022-11-24T16:00:00+00:00,wisconsin,kansas,68 - 69,L,away,1669305600,https://media-3.api-sports.io/basketball/teams/2214.png
2022-11-25T18:00:00+00:00,wisconsin,usc,59 - 64,W,home,1669399200,https://media-3.api-sports.io/basketball/teams/2214.png
2022-11-30T02:00:00+00:00,wisconsin,wake forest,78 - 75,L,home,1669773600,https://media-2.api-sports.io/basketball/teams/2214.png
2022-12-03T21:30:00+00:00,wisconsin,marquette,80 - 77,W,away,1670103000,https://media-2.api-sports.io/basketball/teams/2214.png
2022-12-07T02:00:00+00:00,wisconsin,maryland,59 - 64,W,home,1670378400,https://media-1.api-sports.io/basketball/teams/2214.png
2022-12-11T23:30:00+00:00,wisconsin,iowa,78 - 75,W,away,1670801400,https://media-3.api-sports.io/basketball/teams/2214.png
2022-12-16T00:00:00+00:00,wisconsin,lehigh,56 - 78,W,home,1671148800,https://media-2.api-sports.io/basketball/teams/2214.png
2022-12-24T02:00:00+00:00,wisconsin,grambling st.,None - None,tie,home,1671847200,https://media-1.api-sports.io/basketball/teams/2214.png
2022-12-31T01:00:00+00:00,wisconsin,western michigan,66 - 76,W,home,1672448400,https://media-3.api-sports.io/basketball/teams/2214.png
2023-01-04T02:00:00+00:00,wisconsin,minnesota,60 - 63,W,home,1672797600,https://media-1.api-sports.io/basketball/teams/2214.png
2023-01-07T18:30:00+00:00,wisconsin,illinois,69 - 79,L,away,1673116200,https://media-2.api-sports.io/basketball/teams/2214.png
2023-01-11T00:00:00+00:00,wisconsin,michigan state,,,home,1673395200,https://media-2.api-sports.io/basketball/teams/2214.png
2023-01-14T18:00:00+00:00,wisconsin,indiana,,,away,1673719200,https://media-1.api-sports.io/basketball/teams/2214.png
2023-01-18T01:30:00+00:00,wisconsin,penn state,,,home,1674005400,https://media-1.api-sports.io/basketball/teams/2214.png
2023-01-21T17:00:00+00:00,wisconsin,northwestern,,,away,1674320400,https://media-3.api-sports.io/basketball/teams/2214.png
2023-01-26T00:00:00+00:00,wisconsin,maryland,,,away,1674691200,https://media-2.api-sports.io/basketball/teams/2214.png
2023-01-28T20:00:00+00:00,wisconsin,illinois,,,home,1674936000,https://media-1.api-sports.io/basketball/teams/2214.png
2023-02-03T00:00:00+00:00,wisconsin,ohio state,,,away,1675382400,https://media-1.api-sports.io/basketball/teams/2214.png
2023-02-05T23:30:00+00:00,wisconsin,northwestern,,,home,1675639800,https://media-2.api-sports.io/basketball/teams/2214.png
2023-02-09T01:30:00+00:00,wisconsin,penn state,,,away,1675906200,https://media-3.api-sports.io/basketball/teams/2214.png
2023-02-11T21:00:00+00:00,wisconsin,nebraska,,,away,1676149200,https://media-3.api-sports.io/basketball/teams/2214.png
2023-02-15T02:00:00+00:00,wisconsin,michigan,,,home,1676426400,https://media-1.api-sports.io/basketball/teams/2214.png
2023-02-18T17:00:00+00:00,wisconsin,rutgers,,,home,1676739600,https://media-2.api-sports.io/basketball/teams/2214.png
