Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-08-13,buffalo bills,indianapolis colts,24 - 27,W,home,1660420800,https://media-1.api-sports.io/american-football/teams/20.png
2022-08-20,buffalo bills,denver broncos,15 - 42,W,home,1661014800,https://media-1.api-sports.io/american-football/teams/20.png
2022-08-26,buffalo bills,carolina panthers,0 - 21,L,away,1661554800,https://media-2.api-sports.io/american-football/teams/20.png
2022-09-08,buffalo bills,los angeles rams,31 - 10,W,away,1662596400,https://media-2.api-sports.io/american-football/teams/20.png
2022-09-19,buffalo bills,tennessee titans,7 - 41,W,home,1663629300,https://media-3.api-sports.io/american-football/teams/20.png
2022-09-25,buffalo bills,miami dolphins,19 - 21,L,away,1664125200,https://media-1.api-sports.io/american-football/teams/20.png
2022-10-02,buffalo bills,baltimore ravens,23 - 20,W,away,1664730000,https://media-1.api-sports.io/american-football/teams/20.png
2022-10-09,buffalo bills,pittsburgh steelers,3 - 38,W,home,1665334800,https://media-3.api-sports.io/american-football/teams/20.png
2022-10-16,buffalo bills,kansas city chiefs,24 - 20,W,away,1665951900,https://media-2.api-sports.io/american-football/teams/20.png
2022-10-30,buffalo bills,green bay packers,17 - 27,W,home,1667089200,https://media-2.api-sports.io/american-football/teams/20.png
2022-11-06,buffalo bills,new york jets,17 - 20,L,away,1667757600,https://media-3.api-sports.io/american-football/teams/20.png
2022-11-13,buffalo bills,minnesota vikings,33 - 30,L,home,1668362400,https://media-2.api-sports.io/american-football/teams/20.png
2022-11-20,buffalo bills,cleveland browns,23 - 31,W,home,1668967200,https://media-2.api-sports.io/american-football/teams/20.png
2022-11-24,buffalo bills,detroit lions,28 - 25,W,away,1669311000,https://media-3.api-sports.io/american-football/teams/20.png
2022-12-01,buffalo bills,new england patriots,24 - 10,W,away,1669857300,https://media-2.api-sports.io/american-football/teams/20.png
2022-12-11,buffalo bills,new york jets,12 - 20,W,home,1670781600,https://media-2.api-sports.io/american-football/teams/20.png
2022-12-17,buffalo bills,miami dolphins,29 - 32,W,home,1671239700,https://media-3.api-sports.io/american-football/teams/20.png
2022-12-24,buffalo bills,chicago bears,35 - 13,W,away,1671904800,https://media-3.api-sports.io/american-football/teams/20.png
2023-01-02,buffalo bills,cincinnati bengals,3 - 7,L,away,1672623000,https://media-2.api-sports.io/american-football/teams/20.png
2023-01-08,buffalo bills,new england patriots,23 - 35,W,home,1673200800,https://media-1.api-sports.io/american-football/teams/20.png
