Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-08-13,denver broncos,dallas cowboys,7 - 17,W,home,1660352400,https://media-2.api-sports.io/american-football/teams/28.png
2022-08-20,denver broncos,buffalo bills,15 - 42,L,away,1661014800,https://media-1.api-sports.io/american-football/teams/28.png
2022-08-27,denver broncos,minnesota vikings,13 - 23,W,home,1661562000,https://media-3.api-sports.io/american-football/teams/28.png
2022-09-12,denver broncos,seattle seahawks,16 - 17,L,away,1662941700,https://media-1.api-sports.io/american-football/teams/28.png
2022-09-18,denver broncos,houston texans,9 - 16,W,home,1663532700,https://media-1.api-sports.io/american-football/teams/28.png
2022-09-25,denver broncos,san francisco 49ers,10 - 11,W,home,1664065200,https://media-1.api-sports.io/american-football/teams/28.png
2022-10-02,denver broncos,las vegas raiders,23 - 32,L,away,1664742300,https://media-1.api-sports.io/american-football/teams/28.png
2022-10-06,denver broncos,indianapolis colts,12 - 9,L,home,1665015300,https://media-2.api-sports.io/american-football/teams/28.png
2022-10-17,denver broncos,los angeles chargers,16 - 19,L,away,1665965700,https://media-1.api-sports.io/american-football/teams/28.png
2022-10-23,denver broncos,new york jets,16 - 9,L,home,1666555500,https://media-2.api-sports.io/american-football/teams/28.png
2022-10-30,denver broncos,jacksonville jaguars,21 - 17,W,away,1667136600,https://media-3.api-sports.io/american-football/teams/28.png
2022-11-13,denver broncos,tennessee titans,10 - 17,L,away,1668362400,https://media-1.api-sports.io/american-football/teams/28.png
2022-11-20,denver broncos,las vegas raiders,22 - 16,L,home,1668978300,https://media-2.api-sports.io/american-football/teams/28.png
2022-11-27,denver broncos,carolina panthers,10 - 23,L,away,1669572000,https://media-1.api-sports.io/american-football/teams/28.png
2022-12-04,denver broncos,baltimore ravens,9 - 10,L,away,1670176800,https://media-2.api-sports.io/american-football/teams/28.png
2022-12-11,denver broncos,kansas city chiefs,34 - 28,L,home,1670792700,https://media-3.api-sports.io/american-football/teams/28.png
2022-12-18,denver broncos,arizona cardinals,15 - 24,W,home,1671397500,https://media-1.api-sports.io/american-football/teams/28.png
2022-12-25,denver broncos,los angeles rams,14 - 51,L,away,1672003800,https://media-2.api-sports.io/american-football/teams/28.png
2023-01-01,denver broncos,kansas city chiefs,24 - 27,L,away,1672596000,https://media-2.api-sports.io/american-football/teams/28.png
2023-01-08,denver broncos,los angeles chargers,28 - 31,W,home,1673213100,https://media-3.api-sports.io/american-football/teams/28.png
