Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-08-12,detroit lions,atlanta falcons,27 - 23,L,home,1660341600,https://media-1.api-sports.io/american-football/teams/7.png
2022-08-20,detroit lions,indianapolis colts,27 - 26,W,away,1661014800,https://media-3.api-sports.io/american-football/teams/7.png
2022-08-28,detroit lions,pittsburgh steelers,9 - 19,L,away,1661718600,https://media-1.api-sports.io/american-football/teams/7.png
2022-09-11,detroit lions,philadelphia eagles,38 - 35,L,home,1662915600,https://media-2.api-sports.io/american-football/teams/7.png
2022-09-18,detroit lions,washington commanders,27 - 36,W,home,1663520400,https://media-3.api-sports.io/american-football/teams/7.png
2022-09-25,detroit lions,minnesota vikings,24 - 28,L,away,1664125200,https://media-1.api-sports.io/american-football/teams/7.png
2022-10-02,detroit lions,seattle seahawks,48 - 45,L,home,1664730000,https://media-3.api-sports.io/american-football/teams/7.png
2022-10-09,detroit lions,new england patriots,0 - 29,L,away,1665334800,https://media-2.api-sports.io/american-football/teams/7.png
2022-10-23,detroit lions,dallas cowboys,6 - 24,L,away,1666544400,https://media-2.api-sports.io/american-football/teams/7.png
2022-10-30,detroit lions,miami dolphins,31 - 27,L,home,1667149200,https://media-2.api-sports.io/american-football/teams/7.png
2022-11-06,detroit lions,green bay packers,9 - 15,W,home,1667757600,https://media-1.api-sports.io/american-football/teams/7.png
2022-11-13,detroit lions,chicago bears,31 - 30,W,away,1668362400,https://media-3.api-sports.io/american-football/teams/7.png
2022-11-20,detroit lions,new york giants,31 - 18,W,away,1668967200,https://media-3.api-sports.io/american-football/teams/7.png
2022-11-24,detroit lions,buffalo bills,28 - 25,L,home,1669311000,https://media-1.api-sports.io/american-football/teams/7.png
2022-12-04,detroit lions,jacksonville jaguars,14 - 40,W,home,1670176800,https://media-1.api-sports.io/american-football/teams/7.png
2022-12-11,detroit lions,minnesota vikings,23 - 34,W,home,1670781600,https://media-1.api-sports.io/american-football/teams/7.png
2022-12-18,detroit lions,new york jets,20 - 17,W,away,1671386400,https://media-3.api-sports.io/american-football/teams/7.png
2022-12-24,detroit lions,carolina panthers,23 - 37,L,away,1671904800,https://media-3.api-sports.io/american-football/teams/7.png
2023-01-01,detroit lions,chicago bears,10 - 41,W,home,1672596000,https://media-3.api-sports.io/american-football/teams/7.png
2023-01-08,detroit lions,green bay packers,20 - 16,W,away,1673140800,https://media-3.api-sports.io/american-football/teams/7.png
