Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-08-13,houston texans,new orleans saints,13 - 17,W,home,1660348800,https://media-1.api-sports.io/american-football/teams/26.png
2022-08-19,houston texans,los angeles rams,24 - 20,W,away,1660874400,https://media-3.api-sports.io/american-football/teams/26.png
2022-08-25,houston texans,san francisco 49ers,0 - 17,W,home,1661386500,https://media-2.api-sports.io/american-football/teams/26.png
2022-09-11,houston texans,indianapolis colts,20 - 20,tie,home,1662915600,https://media-1.api-sports.io/american-football/teams/26.png
2022-09-18,houston texans,denver broncos,9 - 16,L,away,1663532700,https://media-3.api-sports.io/american-football/teams/26.png
2022-09-25,houston texans,chicago bears,20 - 23,L,away,1664125200,https://media-3.api-sports.io/american-football/teams/26.png
2022-10-02,houston texans,los angeles chargers,34 - 24,L,home,1664730000,https://media-3.api-sports.io/american-football/teams/26.png
2022-10-09,houston texans,jacksonville jaguars,13 - 6,W,away,1665334800,https://media-2.api-sports.io/american-football/teams/26.png
2022-10-23,houston texans,las vegas raiders,20 - 38,L,away,1666555500,https://media-3.api-sports.io/american-football/teams/26.png
2022-10-30,houston texans,tennessee titans,17 - 10,L,home,1667160300,https://media-3.api-sports.io/american-football/teams/26.png
2022-11-03,houston texans,philadelphia eagles,29 - 17,L,home,1667434500,https://media-2.api-sports.io/american-football/teams/26.png
2022-11-13,houston texans,new york giants,16 - 24,L,away,1668362400,https://media-1.api-sports.io/american-football/teams/26.png
2022-11-20,houston texans,washington commanders,23 - 10,L,home,1668967200,https://media-1.api-sports.io/american-football/teams/26.png
2022-11-27,houston texans,miami dolphins,15 - 30,L,away,1669572000,https://media-2.api-sports.io/american-football/teams/26.png
2022-12-04,houston texans,cleveland browns,27 - 14,L,home,1670176800,https://media-2.api-sports.io/american-football/teams/26.png
2022-12-11,houston texans,dallas cowboys,23 - 27,L,away,1670781600,https://media-2.api-sports.io/american-football/teams/26.png
2022-12-18,houston texans,kansas city chiefs,30 - 24,L,home,1671386400,https://media-2.api-sports.io/american-football/teams/26.png
2022-12-24,houston texans,tennessee titans,19 - 14,W,away,1671908400,https://media-3.api-sports.io/american-football/teams/26.png
2023-01-01,houston texans,jacksonville jaguars,31 - 3,L,home,1672596000,https://media-3.api-sports.io/american-football/teams/26.png
2023-01-08,houston texans,indianapolis colts,32 - 31,W,away,1673200800,https://media-3.api-sports.io/american-football/teams/26.png
