Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-08-13,miami dolphins,tampa bay buccaneers,26 - 24,W,away,1660433400,https://media-2.api-sports.io/american-football/teams/25.png
2022-08-20,miami dolphins,las vegas raiders,15 - 13,L,home,1661036400,https://media-1.api-sports.io/american-football/teams/25.png
2022-08-27,miami dolphins,philadelphia eagles,10 - 48,W,home,1661641200,https://media-2.api-sports.io/american-football/teams/25.png
2022-09-11,miami dolphins,new england patriots,7 - 20,W,home,1662915600,https://media-3.api-sports.io/american-football/teams/25.png
2022-09-18,miami dolphins,baltimore ravens,42 - 38,W,away,1663520400,https://media-1.api-sports.io/american-football/teams/25.png
2022-09-25,miami dolphins,buffalo bills,19 - 21,W,home,1664125200,https://media-2.api-sports.io/american-football/teams/25.png
2022-09-29,miami dolphins,cincinnati bengals,15 - 27,L,away,1664410500,https://media-1.api-sports.io/american-football/teams/25.png
2022-10-09,miami dolphins,new york jets,17 - 40,L,away,1665334800,https://media-2.api-sports.io/american-football/teams/25.png
2022-10-16,miami dolphins,minnesota vikings,24 - 16,L,home,1665939600,https://media-2.api-sports.io/american-football/teams/25.png
2022-10-23,miami dolphins,pittsburgh steelers,10 - 16,W,home,1666484400,https://media-3.api-sports.io/american-football/teams/25.png
2022-10-30,miami dolphins,detroit lions,31 - 27,W,away,1667149200,https://media-1.api-sports.io/american-football/teams/25.png
2022-11-06,miami dolphins,chicago bears,35 - 32,W,away,1667757600,https://media-3.api-sports.io/american-football/teams/25.png
2022-11-13,miami dolphins,cleveland browns,17 - 39,W,home,1668362400,https://media-1.api-sports.io/american-football/teams/25.png
2022-11-27,miami dolphins,houston texans,15 - 30,W,home,1669572000,https://media-2.api-sports.io/american-football/teams/25.png
2022-12-04,miami dolphins,san francisco 49ers,17 - 33,L,away,1670187900,https://media-3.api-sports.io/american-football/teams/25.png
2022-12-11,miami dolphins,los angeles chargers,17 - 23,L,away,1670721600,https://media-1.api-sports.io/american-football/teams/25.png
2022-12-17,miami dolphins,buffalo bills,29 - 32,L,away,1671239700,https://media-1.api-sports.io/american-football/teams/25.png
2022-12-25,miami dolphins,green bay packers,26 - 20,L,home,1671991200,https://media-2.api-sports.io/american-football/teams/25.png
2023-01-01,miami dolphins,new england patriots,21 - 23,L,away,1672596000,https://media-1.api-sports.io/american-football/teams/25.png
2023-01-08,miami dolphins,new york jets,6 - 11,W,home,1673200800,https://media-3.api-sports.io/american-football/teams/25.png
