Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-08-11,new england patriots,new york giants,23 - 21,L,home,1660258800,https://media-2.api-sports.io/american-football/teams/3.png
2022-08-19,new england patriots,carolina panthers,10 - 20,W,home,1660950000,https://media-3.api-sports.io/american-football/teams/3.png
2022-08-26,new england patriots,las vegas raiders,6 - 23,L,away,1661472900,https://media-1.api-sports.io/american-football/teams/3.png
2022-09-11,new england patriots,miami dolphins,7 - 20,L,away,1662915600,https://media-3.api-sports.io/american-football/teams/3.png
2022-09-18,new england patriots,pittsburgh steelers,17 - 14,W,away,1663520400,https://media-1.api-sports.io/american-football/teams/3.png
2022-09-25,new england patriots,baltimore ravens,37 - 26,L,home,1664125200,https://media-1.api-sports.io/american-football/teams/3.png
2022-10-02,new england patriots,green bay packers,24 - 27,L,away,1664742300,https://media-3.api-sports.io/american-football/teams/3.png
2022-10-09,new england patriots,detroit lions,0 - 29,W,home,1665334800,https://media-2.api-sports.io/american-football/teams/3.png
2022-10-16,new england patriots,cleveland browns,38 - 15,W,away,1665939600,https://media-3.api-sports.io/american-football/teams/3.png
2022-10-24,new england patriots,chicago bears,33 - 14,L,home,1666570500,https://media-2.api-sports.io/american-football/teams/3.png
2022-10-30,new england patriots,new york jets,22 - 17,W,away,1667149200,https://media-1.api-sports.io/american-football/teams/3.png
2022-11-06,new england patriots,indianapolis colts,3 - 26,W,home,1667757600,https://media-2.api-sports.io/american-football/teams/3.png
2022-11-20,new england patriots,new york jets,3 - 10,W,home,1668967200,https://media-2.api-sports.io/american-football/teams/3.png
2022-11-24,new england patriots,minnesota vikings,26 - 33,L,away,1669252800,https://media-1.api-sports.io/american-football/teams/3.png
2022-12-01,new england patriots,buffalo bills,24 - 10,L,home,1669857300,https://media-1.api-sports.io/american-football/teams/3.png
2022-12-12,new england patriots,arizona cardinals,27 - 13,W,away,1670807700,https://media-2.api-sports.io/american-football/teams/3.png
2022-12-18,new england patriots,las vegas raiders,24 - 30,L,away,1671397500,https://media-1.api-sports.io/american-football/teams/3.png
2022-12-24,new england patriots,cincinnati bengals,22 - 18,L,home,1671904800,https://media-2.api-sports.io/american-football/teams/3.png
2023-01-01,new england patriots,miami dolphins,21 - 23,W,home,1672596000,https://media-3.api-sports.io/american-football/teams/3.png
2023-01-08,new england patriots,buffalo bills,23 - 35,L,away,1673200800,https://media-1.api-sports.io/american-football/teams/3.png
