Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-08-13,new orleans saints,houston texans,13 - 17,L,away,1660348800,https://media-1.api-sports.io/american-football/teams/27.png
2022-08-19,new orleans saints,green bay packers,10 - 20,L,away,1660867200,https://media-3.api-sports.io/american-football/teams/27.png
2022-08-26,new orleans saints,los angeles chargers,10 - 27,W,home,1661472000,https://media-1.api-sports.io/american-football/teams/27.png
2022-09-11,new orleans saints,atlanta falcons,27 - 26,W,away,1662915600,https://media-3.api-sports.io/american-football/teams/27.png
2022-09-18,new orleans saints,tampa bay buccaneers,20 - 10,L,home,1663520400,https://media-3.api-sports.io/american-football/teams/27.png
2022-09-25,new orleans saints,carolina panthers,14 - 22,L,away,1664125200,https://media-1.api-sports.io/american-football/teams/27.png
2022-10-02,new orleans saints,minnesota vikings,28 - 25,L,home,1664717400,https://media-2.api-sports.io/american-football/teams/27.png
2022-10-09,new orleans saints,seattle seahawks,32 - 39,W,home,1665334800,https://media-3.api-sports.io/american-football/teams/27.png
2022-10-16,new orleans saints,cincinnati bengals,30 - 26,L,home,1665939600,https://media-2.api-sports.io/american-football/teams/27.png
2022-10-20,new orleans saints,arizona cardinals,34 - 42,L,away,1666224900,https://media-2.api-sports.io/american-football/teams/27.png
2022-10-30,new orleans saints,las vegas raiders,0 - 24,W,home,1667149200,https://media-1.api-sports.io/american-football/teams/27.png
2022-11-07,new orleans saints,baltimore ravens,27 - 13,L,home,1667783700,https://media-2.api-sports.io/american-football/teams/27.png
2022-11-13,new orleans saints,pittsburgh steelers,10 - 20,L,away,1668362400,https://media-2.api-sports.io/american-football/teams/27.png
2022-11-20,new orleans saints,los angeles rams,20 - 27,W,home,1668967200,https://media-3.api-sports.io/american-football/teams/27.png
2022-11-27,new orleans saints,san francisco 49ers,0 - 13,L,away,1669584300,https://media-2.api-sports.io/american-football/teams/27.png
2022-12-05,new orleans saints,tampa bay buccaneers,16 - 17,L,away,1670202900,https://media-2.api-sports.io/american-football/teams/27.png
2022-12-18,new orleans saints,atlanta falcons,18 - 21,W,home,1671386400,https://media-1.api-sports.io/american-football/teams/27.png
2022-12-24,new orleans saints,cleveland browns,17 - 10,W,away,1671904800,https://media-1.api-sports.io/american-football/teams/27.png
2023-01-01,new orleans saints,philadelphia eagles,20 - 10,W,away,1672596000,https://media-3.api-sports.io/american-football/teams/27.png
2023-01-08,new orleans saints,carolina panthers,10 - 7,L,home,1673200800,https://media-2.api-sports.io/american-football/teams/27.png
