Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-08-13,tampa bay buccaneers,miami dolphins,26 - 24,L,home,1660433400,https://media-1.api-sports.io/american-football/teams/24.png
2022-08-20,tampa bay buccaneers,tennessee titans,3 - 13,L,away,1661036400,https://media-3.api-sports.io/american-football/teams/24.png
2022-08-27,tampa bay buccaneers,indianapolis colts,10 - 27,L,away,1661643000,https://media-3.api-sports.io/american-football/teams/24.png
2022-09-11,tampa bay buccaneers,dallas cowboys,19 - 3,W,away,1662855600,https://media-1.api-sports.io/american-football/teams/24.png
2022-09-18,tampa bay buccaneers,new orleans saints,20 - 10,W,away,1663520400,https://media-1.api-sports.io/american-football/teams/24.png
2022-09-25,tampa bay buccaneers,green bay packers,14 - 12,L,home,1664137500,https://media-2.api-sports.io/american-football/teams/24.png
2022-10-02,tampa bay buccaneers,kansas city chiefs,41 - 31,L,home,1664670000,https://media-2.api-sports.io/american-football/teams/24.png
2022-10-09,tampa bay buccaneers,atlanta falcons,15 - 21,W,home,1665334800,https://media-3.api-sports.io/american-football/teams/24.png
2022-10-16,tampa bay buccaneers,pittsburgh steelers,18 - 20,L,away,1665939600,https://media-2.api-sports.io/american-football/teams/24.png
2022-10-23,tampa bay buccaneers,carolina panthers,3 - 21,L,away,1666544400,https://media-1.api-sports.io/american-football/teams/24.png
2022-10-27,tampa bay buccaneers,baltimore ravens,27 - 22,L,home,1666829700,https://media-1.api-sports.io/american-football/teams/24.png
2022-11-06,tampa bay buccaneers,los angeles rams,13 - 16,W,home,1667769900,https://media-1.api-sports.io/american-football/teams/24.png
2022-11-13,tampa bay buccaneers,seattle seahawks,16 - 21,W,home,1668349800,https://media-2.api-sports.io/american-football/teams/24.png
2022-11-27,tampa bay buccaneers,cleveland browns,17 - 23,L,away,1669572000,https://media-3.api-sports.io/american-football/teams/24.png
2022-12-05,tampa bay buccaneers,new orleans saints,16 - 17,W,home,1670202900,https://media-2.api-sports.io/american-football/teams/24.png
2022-12-11,tampa bay buccaneers,san francisco 49ers,7 - 35,L,away,1670793900,https://media-1.api-sports.io/american-football/teams/24.png
2022-12-18,tampa bay buccaneers,cincinnati bengals,34 - 23,L,home,1671398700,https://media-3.api-sports.io/american-football/teams/24.png
2022-12-25,tampa bay buccaneers,arizona cardinals,19 - 16,W,away,1671931200,https://media-1.api-sports.io/american-football/teams/24.png
2023-01-01,tampa bay buccaneers,carolina panthers,24 - 30,W,home,1672596000,https://media-1.api-sports.io/american-football/teams/24.png
2023-01-08,tampa bay buccaneers,atlanta falcons,17 - 30,L,away,1673200800,https://media-1.api-sports.io/american-football/teams/24.png
