Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
2022-08-11,tennessee titans,baltimore ravens,10 - 23,L,away,1660260600,https://media-2.api-sports.io/american-football/teams/6.png
2022-08-20,tennessee titans,tampa bay buccaneers,3 - 13,W,home,1661036400,https://media-3.api-sports.io/american-football/teams/6.png
2022-08-27,tennessee titans,arizona cardinals,23 - 26,W,home,1661641200,https://media-3.api-sports.io/american-football/teams/6.png
2022-09-11,tennessee titans,new york giants,21 - 20,L,home,1662927900,https://media-2.api-sports.io/american-football/teams/6.png
2022-09-19,tennessee titans,buffalo bills,7 - 41,L,away,1663629300,https://media-2.api-sports.io/american-football/teams/6.png
2022-09-25,tennessee titans,las vegas raiders,22 - 24,W,home,1664125200,https://media-3.api-sports.io/american-football/teams/6.png
2022-10-02,tennessee titans,indianapolis colts,24 - 17,W,away,1664730000,https://media-1.api-sports.io/american-football/teams/6.png
2022-10-09,tennessee titans,washington commanders,21 - 17,W,away,1665334800,https://media-1.api-sports.io/american-football/teams/6.png
2022-10-23,tennessee titans,indianapolis colts,10 - 19,W,home,1666544400,https://media-3.api-sports.io/american-football/teams/6.png
2022-10-30,tennessee titans,houston texans,17 - 10,W,away,1667160300,https://media-2.api-sports.io/american-football/teams/6.png
2022-11-06,tennessee titans,kansas city chiefs,17 - 20,L,away,1667697600,https://media-2.api-sports.io/american-football/teams/6.png
2022-11-13,tennessee titans,denver broncos,10 - 17,W,home,1668362400,https://media-2.api-sports.io/american-football/teams/6.png
2022-11-17,tennessee titans,green bay packers,27 - 17,W,away,1668647700,https://media-3.api-sports.io/american-football/teams/6.png
2022-11-27,tennessee titans,cincinnati bengals,20 - 16,L,home,1669572000,https://media-2.api-sports.io/american-football/teams/6.png
2022-12-04,tennessee titans,philadelphia eagles,10 - 35,L,away,1670176800,https://media-1.api-sports.io/american-football/teams/6.png
2022-12-11,tennessee titans,jacksonville jaguars,36 - 22,L,home,1670781600,https://media-3.api-sports.io/american-football/teams/6.png
2022-12-18,tennessee titans,los angeles chargers,14 - 17,L,away,1671398700,https://media-3.api-sports.io/american-football/teams/6.png
2022-12-24,tennessee titans,houston texans,19 - 14,L,home,1671908400,https://media-3.api-sports.io/american-football/teams/6.png
2022-12-29,tennessee titans,dallas cowboys,27 - 13,L,home,1672276500,https://media-1.api-sports.io/american-football/teams/6.png
2023-01-08,tennessee titans,jacksonville jaguars,16 - 20,L,away,1673140500,https://media-2.api-sports.io/american-football/teams/6.png
