Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
"Saturday, August 06 06:30 AM",liverpool,fulham,2 - 2,tie,away,1659785400,https://media-3.api-sports.io/football/teams/40.png
"Monday, August 15 02:00 PM",liverpool,crystal palace,1 - 1,tie,home,1660590000,https://media-1.api-sports.io/football/teams/40.png
"Monday, August 22 02:00 PM",liverpool,manchester united,1 - 2,L,away,1661194800,https://media-1.api-sports.io/football/teams/40.png
"Saturday, August 27 09:00 AM",liverpool,bournemouth,0 - 9,W,home,1661608800,https://media-2.api-sports.io/football/teams/40.png
"Wednesday, August 31 02:00 PM",liverpool,newcastle,1 - 2,W,home,1661972400,https://media-1.api-sports.io/football/teams/40.png
"Saturday, September 03 06:30 AM",liverpool,everton,0 - 0,tie,away,1662204600,https://media-2.api-sports.io/football/teams/40.png
"Saturday, September 10 09:00 AM",liverpool,wolves,,,home,1662818400,https://media-3.api-sports.io/football/teams/40.png
"Sunday, September 18 10:30 AM",liverpool,chelsea,,,away,1663515000,https://media-1.api-sports.io/football/teams/40.png
"Saturday, October 01 09:00 AM",liverpool,brighton,3 - 3,tie,home,1664632800,https://media-1.api-sports.io/football/teams/40.png
"Sunday, October 09 10:30 AM",liverpool,arsenal,2 - 3,L,away,1665329400,https://media-2.api-sports.io/football/teams/40.png
"Sunday, October 16 10:30 AM",liverpool,manchester city,0 - 1,W,home,1665934200,https://media-2.api-sports.io/football/teams/40.png
"Wednesday, October 19 01:30 PM",liverpool,west ham,0 - 1,W,home,1666204200,https://media-1.api-sports.io/football/teams/40.png
"Saturday, October 22 06:30 AM",liverpool,nottingham forest,0 - 1,L,away,1666438200,https://media-2.api-sports.io/football/teams/40.png
"Saturday, October 29 01:45 PM",liverpool,leeds,2 - 1,L,home,1667069100,https://media-1.api-sports.io/football/teams/40.png
"Sunday, November 06 10:30 AM",liverpool,tottenham,2 - 1,W,away,1667752200,https://media-1.api-sports.io/football/teams/40.png
"Saturday, November 12 09:00 AM",liverpool,southampton,1 - 3,W,home,1668265200,https://media-3.api-sports.io/football/teams/40.png
"Monday, December 26 11:30 AM",liverpool,aston villa,3 - 1,W,away,1672075800,https://media-2.api-sports.io/football/teams/40.png
"Friday, December 30 02:00 PM",liverpool,leicester,1 - 2,W,home,1672430400,https://media-2.api-sports.io/football/teams/40.png
"Monday, January 02 11:30 AM",liverpool,brentford,1 - 3,L,away,1672680600,https://media-2.api-sports.io/football/teams/40.png
"Saturday, January 14 09:00 AM",liverpool,brighton,,,away,1673708400,https://media-1.api-sports.io/football/teams/40.png
"Saturday, January 21 06:30 AM",liverpool,chelsea,,,home,1674304200,https://media-3.api-sports.io/football/teams/40.png
"Saturday, February 04 09:00 AM",liverpool,wolves,,,away,1675522800,https://media-3.api-sports.io/football/teams/40.png
"Monday, February 13 02:00 PM",liverpool,everton,,,home,1676318400,https://media-2.api-sports.io/football/teams/40.png
"Saturday, February 18 11:30 AM",liverpool,newcastle,,,away,1676741400,https://media-2.api-sports.io/football/teams/40.png
"Saturday, February 25 01:45 PM",liverpool,crystal palace,,,away,1677354300,https://media-1.api-sports.io/football/teams/40.png
"Saturday, March 04 09:00 AM",liverpool,manchester united,,,home,1677942000,https://media-1.api-sports.io/football/teams/40.png
"Saturday, March 11 09:00 AM",liverpool,bournemouth,,,away,1678546800,https://media-3.api-sports.io/football/teams/40.png
"Saturday, March 18 10:00 AM",liverpool,fulham,,,home,1679151600,https://media-3.api-sports.io/football/teams/40.png
"Saturday, April 01 09:00 AM",liverpool,manchester city,,,away,1680357600,https://media-2.api-sports.io/football/teams/40.png
"Saturday, April 08 09:00 AM",liverpool,arsenal,,,home,1680962400,https://media-2.api-sports.io/football/teams/40.png
"Saturday, April 15 09:00 AM",liverpool,leeds,,,away,1681567200,https://media-3.api-sports.io/football/teams/40.png
"Saturday, April 22 09:00 AM",liverpool,nottingham forest,,,home,1682172000,https://media-2.api-sports.io/football/teams/40.png
"Tuesday, April 25 01:45 PM",liverpool,west ham,,,away,1682448300,https://media-1.api-sports.io/football/teams/40.png
"Saturday, April 29 09:00 AM",liverpool,tottenham,,,home,1682776800,https://media-3.api-sports.io/football/teams/40.png
"Saturday, May 06 09:00 AM",liverpool,brentford,,,home,1683381600,https://media-3.api-sports.io/football/teams/40.png
"Saturday, May 13 09:00 AM",liverpool,leicester,,,away,1683986400,https://media-1.api-sports.io/football/teams/40.png
"Saturday, May 20 09:00 AM",liverpool,aston villa,,,home,1684591200,https://media-3.api-sports.io/football/teams/40.png
"Sunday, May 28 10:00 AM",liverpool,southampton,,,away,1685286000,https://media-2.api-sports.io/football/teams/40.png
