Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
"Sunday, August 07 10:30 AM",west ham,manchester city,2 - 0,L,home,1659886200,https://media-1.api-sports.io/football/teams/48.png
"Sunday, August 14 08:00 AM",west ham,nottingham forest,0 - 1,L,away,1660482000,https://media-1.api-sports.io/football/teams/48.png
"Sunday, August 21 08:00 AM",west ham,brighton,2 - 0,L,home,1661086800,https://media-2.api-sports.io/football/teams/48.png
"Sunday, August 28 08:00 AM",west ham,aston villa,1 - 0,W,away,1661691600,https://media-3.api-sports.io/football/teams/48.png
"Wednesday, August 31 01:45 PM",west ham,tottenham,1 - 1,tie,home,1661971500,https://media-2.api-sports.io/football/teams/48.png
"Saturday, September 03 09:00 AM",west ham,chelsea,1 - 2,L,away,1662213600,https://media-2.api-sports.io/football/teams/48.png
"Sunday, September 11 08:00 AM",west ham,newcastle,,,home,1662901200,https://media-1.api-sports.io/football/teams/48.png
"Sunday, September 18 08:15 AM",west ham,everton,0 - 1,L,away,1663506900,https://media-2.api-sports.io/football/teams/48.png
"Saturday, October 01 11:30 AM",west ham,wolves,0 - 2,W,home,1664641800,https://media-2.api-sports.io/football/teams/48.png
"Sunday, October 09 08:00 AM",west ham,fulham,1 - 3,W,home,1665320400,https://media-2.api-sports.io/football/teams/48.png
"Sunday, October 16 08:00 AM",west ham,southampton,1 - 1,tie,away,1665925200,https://media-1.api-sports.io/football/teams/48.png
"Wednesday, October 19 01:30 PM",west ham,liverpool,0 - 1,L,away,1666204200,https://media-1.api-sports.io/football/teams/48.png
"Monday, October 24 02:00 PM",west ham,bournemouth,0 - 2,W,home,1666638000,https://media-1.api-sports.io/football/teams/48.png
"Sunday, October 30 11:15 AM",west ham,manchester united,0 - 1,L,away,1667146500,https://media-3.api-sports.io/football/teams/48.png
"Sunday, November 06 08:00 AM",west ham,crystal palace,2 - 1,L,home,1667743200,https://media-1.api-sports.io/football/teams/48.png
"Saturday, November 12 09:00 AM",west ham,leicester,2 - 0,L,home,1668265200,https://media-2.api-sports.io/football/teams/48.png
"Monday, December 26 02:00 PM",west ham,arsenal,1 - 3,L,away,1672084800,https://media-3.api-sports.io/football/teams/48.png
"Friday, December 30 01:45 PM",west ham,brentford,2 - 0,L,home,1672429500,https://media-3.api-sports.io/football/teams/48.png
"Wednesday, January 04 01:45 PM",west ham,leeds,2 - 2,tie,away,1672861500,https://media-1.api-sports.io/football/teams/48.png
"Saturday, January 14 09:00 AM",west ham,wolves,,,away,1673708400,https://media-2.api-sports.io/football/teams/48.png
"Saturday, January 21 09:00 AM",west ham,everton,,,home,1674313200,https://media-2.api-sports.io/football/teams/48.png
"Saturday, February 04 11:30 AM",west ham,newcastle,,,away,1675531800,https://media-2.api-sports.io/football/teams/48.png
"Saturday, February 11 06:30 AM",west ham,chelsea,,,home,1676118600,https://media-1.api-sports.io/football/teams/48.png
"Sunday, February 19 10:30 AM",west ham,tottenham,,,away,1676824200,https://media-1.api-sports.io/football/teams/48.png
"Saturday, February 25 09:00 AM",west ham,nottingham forest,,,home,1677337200,https://media-2.api-sports.io/football/teams/48.png
"Saturday, March 04 09:00 AM",west ham,brighton,,,away,1677942000,https://media-3.api-sports.io/football/teams/48.png
"Saturday, March 11 09:00 AM",west ham,aston villa,,,home,1678546800,https://media-1.api-sports.io/football/teams/48.png
"Saturday, March 18 10:00 AM",west ham,manchester city,,,away,1679151600,https://media-2.api-sports.io/football/teams/48.png
"Saturday, April 01 09:00 AM",west ham,southampton,,,home,1680357600,https://media-3.api-sports.io/football/teams/48.png
"Saturday, April 08 09:00 AM",west ham,fulham,,,away,1680962400,https://media-2.api-sports.io/football/teams/48.png
"Saturday, April 15 09:00 AM",west ham,arsenal,,,home,1681567200,https://media-1.api-sports.io/football/teams/48.png
"Saturday, April 22 09:00 AM",west ham,bournemouth,,,away,1682172000,https://media-1.api-sports.io/football/teams/48.png
"Tuesday, April 25 01:45 PM",west ham,liverpool,,,home,1682448300,https://media-3.api-sports.io/football/teams/48.png
"Saturday, April 29 09:00 AM",west ham,crystal palace,,,away,1682776800,https://media-3.api-sports.io/football/teams/48.png
"Saturday, May 06 09:00 AM",west ham,manchester united,,,home,1683381600,https://media-2.api-sports.io/football/teams/48.png
"Saturday, May 13 09:00 AM",west ham,brentford,,,away,1683986400,https://media-3.api-sports.io/football/teams/48.png
"Saturday, May 20 09:00 AM",west ham,leeds,,,home,1684591200,https://media-3.api-sports.io/football/teams/48.png
"Sunday, May 28 10:00 AM",west ham,leicester,,,away,1685286000,https://media-1.api-sports.io/football/teams/48.png
