Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
"Saturday, August 06 09:00 AM",wolves,leeds,1 - 2,L,away,1659794400,https://media-1.api-sports.io/football/teams/39.png
"Saturday, August 13 09:00 AM",wolves,fulham,0 - 0,tie,home,1660399200,https://media-1.api-sports.io/football/teams/39.png
"Saturday, August 20 06:30 AM",wolves,tottenham,0 - 1,L,away,1660995000,https://media-1.api-sports.io/football/teams/39.png
"Sunday, August 28 08:00 AM",wolves,newcastle,1 - 1,tie,home,1661691600,https://media-1.api-sports.io/football/teams/39.png
"Wednesday, August 31 01:30 PM",wolves,bournemouth,0 - 0,tie,away,1661970600,https://media-2.api-sports.io/football/teams/39.png
"Saturday, September 03 09:00 AM",wolves,southampton,0 - 1,W,home,1662213600,https://media-2.api-sports.io/football/teams/39.png
"Saturday, September 10 09:00 AM",wolves,liverpool,,,away,1662818400,https://media-1.api-sports.io/football/teams/39.png
"Saturday, September 17 06:30 AM",wolves,manchester city,3 - 0,L,home,1663414200,https://media-1.api-sports.io/football/teams/39.png
"Saturday, October 01 11:30 AM",wolves,west ham,0 - 2,L,away,1664641800,https://media-2.api-sports.io/football/teams/39.png
"Saturday, October 08 09:00 AM",wolves,chelsea,0 - 3,L,away,1665237600,https://media-2.api-sports.io/football/teams/39.png
"Saturday, October 15 09:00 AM",wolves,nottingham forest,0 - 1,W,home,1665842400,https://media-2.api-sports.io/football/teams/39.png
"Tuesday, October 18 02:15 PM",wolves,crystal palace,1 - 2,L,away,1666120500,https://media-3.api-sports.io/football/teams/39.png
"Sunday, October 23 08:00 AM",wolves,leicester,4 - 0,L,home,1666530000,https://media-3.api-sports.io/football/teams/39.png
"Saturday, October 29 09:00 AM",wolves,brentford,1 - 1,tie,away,1667052000,https://media-3.api-sports.io/football/teams/39.png
"Saturday, November 05 10:00 AM",wolves,brighton,3 - 2,L,home,1667660400,https://media-1.api-sports.io/football/teams/39.png
"Saturday, November 12 01:45 PM",wolves,arsenal,2 - 0,L,home,1668282300,https://media-3.api-sports.io/football/teams/39.png
"Monday, December 26 09:00 AM",wolves,everton,2 - 1,W,away,1672066800,https://media-3.api-sports.io/football/teams/39.png
"Saturday, December 31 06:30 AM",wolves,manchester united,1 - 0,L,home,1672489800,https://media-3.api-sports.io/football/teams/39.png
"Wednesday, January 04 02:00 PM",wolves,aston villa,1 - 1,tie,away,1672862400,https://media-3.api-sports.io/football/teams/39.png
"Saturday, January 14 09:00 AM",wolves,west ham,,,home,1673708400,https://media-3.api-sports.io/football/teams/39.png
"Sunday, January 22 08:00 AM",wolves,manchester city,,,away,1674396000,https://media-2.api-sports.io/football/teams/39.png
"Saturday, February 04 09:00 AM",wolves,liverpool,,,home,1675522800,https://media-3.api-sports.io/football/teams/39.png
"Saturday, February 11 09:00 AM",wolves,southampton,,,away,1676127600,https://media-1.api-sports.io/football/teams/39.png
"Saturday, February 18 09:00 AM",wolves,bournemouth,,,home,1676732400,https://media-2.api-sports.io/football/teams/39.png
"Friday, February 24 02:00 PM",wolves,fulham,,,away,1677268800,https://media-2.api-sports.io/football/teams/39.png
"Saturday, March 04 09:00 AM",wolves,tottenham,,,home,1677942000,https://media-2.api-sports.io/football/teams/39.png
"Saturday, March 11 09:00 AM",wolves,newcastle,,,away,1678546800,https://media-1.api-sports.io/football/teams/39.png
"Saturday, March 18 10:00 AM",wolves,leeds,,,home,1679151600,https://media-2.api-sports.io/football/teams/39.png
"Saturday, April 01 09:00 AM",wolves,nottingham forest,,,away,1680357600,https://media-2.api-sports.io/football/teams/39.png
"Saturday, April 08 09:00 AM",wolves,chelsea,,,home,1680962400,https://media-1.api-sports.io/football/teams/39.png
"Saturday, April 15 09:00 AM",wolves,brentford,,,home,1681567200,https://media-2.api-sports.io/football/teams/39.png
"Saturday, April 22 09:00 AM",wolves,leicester,,,away,1682172000,https://media-3.api-sports.io/football/teams/39.png
"Tuesday, April 25 01:45 PM",wolves,crystal palace,,,home,1682448300,https://media-2.api-sports.io/football/teams/39.png
"Saturday, April 29 09:00 AM",wolves,brighton,,,away,1682776800,https://media-3.api-sports.io/football/teams/39.png
"Saturday, May 06 09:00 AM",wolves,aston villa,,,home,1683381600,https://media-1.api-sports.io/football/teams/39.png
"Saturday, May 13 09:00 AM",wolves,manchester united,,,away,1683986400,https://media-2.api-sports.io/football/teams/39.png
"Saturday, May 20 09:00 AM",wolves,everton,,,home,1684591200,https://media-2.api-sports.io/football/teams/39.png
"Sunday, May 28 10:00 AM",wolves,arsenal,,,away,1685286000,https://media-1.api-sports.io/football/teams/39.png
