Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
"Tuesday, August 02 02:00 PM",benfica,fc midtjylland,1 - 4,W,home,1659466800,https://media-2.api-sports.io/football/teams/211.png
"Tuesday, August 09 12:45 PM",benfica,fc midtjylland,3 - 1,W,away,1660067100,https://media-1.api-sports.io/football/teams/211.png
"Wednesday, August 17 02:00 PM",benfica,dynamo kyiv,2 - 0,W,away,1660762800,https://media-2.api-sports.io/football/teams/211.png
"Tuesday, August 23 02:00 PM",benfica,dynamo kyiv,0 - 3,W,home,1661281200,https://media-2.api-sports.io/football/teams/211.png
"Tuesday, September 06 02:00 PM",benfica,maccabi haifa,0 - 2,W,home,1662490800,https://media-1.api-sports.io/football/teams/211.png
"Wednesday, September 14 02:00 PM",benfica,juventus,2 - 1,W,away,1663182000,https://media-3.api-sports.io/football/teams/211.png
"Wednesday, October 05 02:00 PM",benfica,paris saint germain,1 - 1,tie,home,1664996400,https://media-1.api-sports.io/football/teams/211.png
"Tuesday, October 11 02:00 PM",benfica,paris saint germain,1 - 1,tie,away,1665514800,https://media-2.api-sports.io/football/teams/211.png
"Tuesday, October 25 02:00 PM",benfica,juventus,3 - 4,W,home,1666724400,https://media-1.api-sports.io/football/teams/211.png
"Wednesday, November 02 03:00 PM",benfica,maccabi haifa,6 - 1,W,away,1667419200,https://media-2.api-sports.io/football/teams/211.png
"Wednesday, February 15 02:00 PM",benfica,club brugge kv,,,away,1676491200,https://media-1.api-sports.io/football/teams/211.png
"Tuesday, March 07 02:00 PM",benfica,club brugge kv,,,home,1678219200,https://media-1.api-sports.io/football/teams/211.png
