Date,Team,Opponent,Score,Result,Home or Away,Unix Timestamp,Image Url
"Thursday, August 04 12:00 PM",malmo ff,f91 dudelange,0 - 3,W,home,1659632400,https://media-2.api-sports.io/football/teams/375.png
"Thursday, August 11 01:00 PM",malmo ff,f91 dudelange,2 - 2,tie,away,1660240800,https://media-3.api-sports.io/football/teams/375.png
"Thursday, August 18 12:00 PM",malmo ff,sivasspor,1 - 3,W,home,1660842000,https://media-3.api-sports.io/football/teams/375.png
"Thursday, August 25 12:00 PM",malmo ff,sivasspor,2 - 0,W,away,1661446800,https://media-3.api-sports.io/football/teams/375.png
"Thursday, September 08 11:45 AM",malmo ff,sc braga,2 - 0,L,home,1662655500,https://media-2.api-sports.io/football/teams/375.png
"Thursday, September 15 02:00 PM",malmo ff,union st. gilloise,2 - 3,L,away,1663268400,https://media-3.api-sports.io/football/teams/375.png
"Thursday, October 06 11:45 AM",malmo ff,union berlin,1 - 0,L,home,1665074700,https://media-3.api-sports.io/football/teams/375.png
"Thursday, October 13 02:00 PM",malmo ff,union berlin,0 - 1,L,away,1665687600,https://media-3.api-sports.io/football/teams/375.png
"Thursday, October 27 11:45 AM",malmo ff,union st. gilloise,2 - 0,L,home,1666889100,https://media-2.api-sports.io/football/teams/375.png
"Thursday, November 03 03:00 PM",malmo ff,sc braga,1 - 2,L,away,1667505600,https://media-1.api-sports.io/football/teams/375.png
