Date,Team,Score,Result,Home or Away,Unix Timestamp
"Wed, Oct 19",Miami,`116-108,W,Away,
"Fri, Oct 21",Washington,`102-100,L,Away,
"Sat, Oct 22",Cleveland,`128-96,L,Home,
"Mon, Oct 24",Boston,`120-102,W,Home,
"Wed, Oct 26",Indiana,`124-109,W,Home,
"Fri, Oct 28",San Antonio,`129-124,L,Away,
"Sat, Oct 29",Philadelphia,`114-109,L,Home,
"Tue, Nov 1",Brooklyn,`108-99,W,Away,
"Wed, Nov 2",Charlotte,`106-88,W,Home,
"Fri, Nov 4",Boston,`123-119,L,Away,
"Sun, Nov 6",Toronto,`113-104,L,Away,
"Mon, Nov 7",Toronto,`111-97,W,Home,
"Wed, Nov 9",New Orleans,`115-111,L,Home,
"Sun, Nov 13",Denver,`126-103,L,Home,
"Wed, Nov 16",New Orleans,`124-110,L,Away,
"Fri, Nov 18",Orlando,`108-107,L,Home,
"Mon, Nov 21",Boston,`121-107,W,Home,
"Wed, Nov 23",Milwaukee,`118-113,W,Away,
"Fri, Nov 25",Oklahoma City,`123-119 OT,L,Away,
"Mon, Nov 28",Utah,`114-107,W,Away,
"Wed, Nov 30",Phoenix,`132-113,L,Away,
"Fri, Dec 2",Golden State,`119-111,L,Away,
"Sun, Dec 4",Sacramento,`110-101,L,Away,
"Wed, Dec 7",Washington,`115-111,W,Home,
"Sat, Dec 10",Dallas,`144-115,W,Home,
"Sun, Dec 11",Atlanta,`123-122 OT,L,Away,
"Wed, Dec 14",New York,`128-120 OT,L,Home,
"Fri, Dec 16",New York,`114-91,L,Home,
"Sun, Dec 18",Minnesota,`150-126,L,Away,
"Tue, Dec 20",Miami,`113-103,W,Away,
"Wed, Dec 21",Atlanta,`110-108,W,Away,
"Fri, Dec 23 2022 6:30 PM",New York,,,Away,1671841800.0
"Mon, Dec 26 2022 7:00 PM",Houston,,,Home,1672102800.0
"Wed, Dec 28 2022 7:00 PM",Milwaukee,,,Home,1672275600.0
"Fri, Dec 30 2022 7:00 PM",Detroit,,,Home,1672448400.0
"Sat, Dec 31 2022 6:00 PM",Cleveland,,,Home,1672531200.0
"Mon, Jan 2 2023 6:00 PM",Cleveland,,,Away,1672704000.0
"Wed, Jan 4 2023 7:00 PM",Brooklyn,,,Home,1672880400.0
"Fri, Jan 6 2023 6:30 PM",Philadelphia,,,Away,1673051400.0
"Sat, Jan 7 2023 7:00 PM",Utah,,,Home,1673139600.0
"Mon, Jan 9 2023 6:30 PM",Boston,,,Away,1673310600.0
"Wed, Jan 11 2023 6:00 PM",Washington,,,Away,1673481600.0
"Fri, Jan 13 2023 7:00 PM",Oklahoma City,,,Home,1673658000.0
"Sun, Jan 15 2023 2:30 PM",Golden State,,,Home,1673814600.0
"Thu, Jan 19 2023 2:00 PM",Detroit *,,,Home,1674158400.0
"Mon, Jan 23 2023 7:00 PM",Atlanta,,,Home,1674522000.0
"Tue, Jan 24 2023 6:00 PM",Indiana,,,Away,1674604800.0
"Thu, Jan 26 2023 6:30 PM",Charlotte,,,Away,1674779400.0
"Sat, Jan 28 2023 6:00 PM",Orlando,,,Away,1674950400.0
"Tue, Jan 31 2023 7:00 PM",LA,,,Home,1675213200.0
"Thu, Feb 2 2023 7:00 PM",Charlotte,,,Home,1675386000.0
"Sat, Feb 4 2023 7:00 PM",Portland,,,Home,1675558800.0
"Mon, Feb 6 2023 7:00 PM",San Antonio,,,Home,1675731600.0
"Tue, Feb 7 2023 7:00 PM",Memphis,,,Away,1675818000.0
"Thu, Feb 9 2023 6:30 PM",Brooklyn,,,Away,1675989000.0
"Sat, Feb 11 2023 7:00 PM",Cleveland,,,Away,1676163600.0
"Mon, Feb 13 2023 7:00 PM",Orlando,,,Home,1676336400.0
"Wed, Feb 15 2023 6:00 PM",Indiana,,,Away,1676505600.0
"Thu, Feb 16 2023 6:30 PM",Milwaukee,,,Home,1676593800.0
"Fri, Feb 24 2023 9:00 PM",Brooklyn,,,Home,1677294000.0
"Sun, Feb 26 2023 2:30 PM",Washington,,,Home,1677443400.0
"Tue, Feb 28 2023 6:30 PM",Toronto,,,Away,1677630600.0
"Wed, Mar 1 2023 6:00 PM",Detroit,,,Away,1677715200.0
"Fri, Mar 3 2023 7:00 PM",Phoenix,,,Home,1677891600.0
"Sun, Mar 5 2023 2:30 PM",Indiana,,,Home,1678048200.0
"Wed, Mar 8 2023 8:00 PM",Denver,,,Away,1678327200.0
"Sat, Mar 11 2023 7:00 PM",Houston,,,Away,1678582800.0
"Wed, Mar 15 2023 7:00 PM",Sacramento,,,Home,1678924800.0
"Fri, Mar 17 2023 7:00 PM",Minnesota,,,Home,1679097600.0
"Sat, Mar 18 2023 7:00 PM",Miami,,,Home,1679184000.0
